"No.","Delta","Time","Source","Destination","Protocol","CumBytes","Length","Info"
"3467","0.000028","12.534673","128.237.113.226","54.210.90.84","TCP","3074607","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=259193 Win=158528 Len=0 TSval=2940931359 TSecr=528812735"
"3468","0.016039","12.550712","54.210.90.84","128.237.113.226","TCP","3076121","1514","5201  >  62388 [ACK] Seq=259193 Ack=38 Win=26880 Len=1448 TSval=528812750 TSecr=2940931327"
"3469","0.000003","12.550715","54.210.90.84","128.237.113.226","TCP","3077635","1514","5201  >  62388 [ACK] Seq=260641 Ack=38 Win=26880 Len=1448 TSval=528812750 TSecr=2940931327"
"3470","0.000050","12.550765","128.237.113.226","54.210.90.84","TCP","3077701","66","62388  >  5201 [ACK] Seq=38 Ack=262089 Win=155648 Len=0 TSval=2940931374 TSecr=528812750"
"3471","0.000013","12.550778","54.210.90.84","128.237.113.226","TCP","3079215","1514","5201  >  62388 [ACK] Seq=262089 Ack=38 Win=26880 Len=1448 TSval=528812750 TSecr=2940931327"
"3472","0.000003","12.550781","54.210.90.84","128.237.113.226","TCP","3080729","1514","5201  >  62388 [ACK] Seq=263537 Ack=38 Win=26880 Len=1448 TSval=528812750 TSecr=2940931327"
"3473","0.000009","12.550790","128.237.113.226","54.210.90.84","TCP","3080795","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=262089 Win=158528 Len=0 TSval=2940931374 TSecr=528812750"
"3474","0.000013","12.550803","128.237.113.226","54.210.90.84","TCP","3080861","66","62388  >  5201 [ACK] Seq=38 Ack=264985 Win=155648 Len=0 TSval=2940931374 TSecr=528812750"
"3475","0.000031","12.550834","128.237.113.226","54.210.90.84","TCP","3080927","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=264985 Win=158528 Len=0 TSval=2940931374 TSecr=528812750"
"3476","0.000116","12.550950","54.210.90.84","128.237.113.226","TCP","3082441","1514","5201  >  62388 [ACK] Seq=264985 Ack=38 Win=26880 Len=1448 TSval=528812750 TSecr=2940931327"
"3477","0.000062","12.551012","54.210.90.84","128.237.113.226","TCP","3083955","1514","5201  >  62388 [ACK] Seq=266433 Ack=38 Win=26880 Len=1448 TSval=528812750 TSecr=2940931327"
"3478","0.000016","12.551028","128.237.113.226","54.210.90.84","TCP","3084021","66","62388  >  5201 [ACK] Seq=38 Ack=267881 Win=155648 Len=0 TSval=2940931375 TSecr=528812750"
"3479","0.000040","12.551068","128.237.113.226","54.210.90.84","TCP","3084087","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=267881 Win=158528 Len=0 TSval=2940931375 TSecr=528812750"
"3480","0.022786","12.573854","54.210.90.84","128.237.113.226","TCP","3085601","1514","5201  >  62388 [ACK] Seq=267881 Ack=38 Win=26880 Len=1448 TSval=528812775 TSecr=2940931356"
"3481","0.000003","12.573857","54.210.90.84","128.237.113.226","TCP","3087115","1514","5201  >  62388 [ACK] Seq=269329 Ack=38 Win=26880 Len=1448 TSval=528812775 TSecr=2940931356"
"3482","0.000061","12.573918","128.237.113.226","54.210.90.84","TCP","3087181","66","62388  >  5201 [ACK] Seq=38 Ack=270777 Win=166624 Len=0 TSval=2940931396 TSecr=528812775"
"3483","0.000009","12.573927","54.210.90.84","128.237.113.226","TCP","3088695","1514","5201  >  62388 [PSH, ACK] Seq=270777 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931356"
"3484","0.000005","12.573932","54.210.90.84","128.237.113.226","TCP","3090209","1514","5201  >  62388 [ACK] Seq=272225 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931356"
"3485","0.000016","12.573948","128.237.113.226","54.210.90.84","TCP","3090275","66","62388  >  5201 [ACK] Seq=38 Ack=272225 Win=166496 Len=0 TSval=2940931396 TSecr=528812778"
"3486","0.000029","12.573977","128.237.113.226","54.210.90.84","TCP","3090341","66","62388  >  5201 [ACK] Seq=38 Ack=273673 Win=167968 Len=0 TSval=2940931396 TSecr=528812778"
"3487","0.000135","12.574112","54.210.90.84","128.237.113.226","TCP","3091855","1514","5201  >  62388 [ACK] Seq=273673 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931356"
"3488","0.000004","12.574116","54.210.90.84","128.237.113.226","TCP","3093369","1514","5201  >  62388 [ACK] Seq=275121 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931356"
"3489","0.000003","12.574119","54.210.90.84","128.237.113.226","TCP","3094883","1514","5201  >  62388 [ACK] Seq=276569 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931356"
"3490","0.000028","12.574147","128.237.113.226","54.210.90.84","TCP","3094949","66","62388  >  5201 [ACK] Seq=38 Ack=276569 Win=165056 Len=0 TSval=2940931396 TSecr=528812778"
"3491","0.000010","12.574157","128.237.113.226","54.210.90.84","TCP","3095015","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=276569 Win=167968 Len=0 TSval=2940931396 TSecr=528812778"
"3492","0.000066","12.574223","54.210.90.84","128.237.113.226","TCP","3096529","1514","5201  >  62388 [ACK] Seq=278017 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931357"
"3493","0.000003","12.574226","54.210.90.84","128.237.113.226","TCP","3098043","1514","5201  >  62388 [ACK] Seq=279465 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931357"
"3494","0.000020","12.574246","128.237.113.226","54.210.90.84","TCP","3098109","66","62388  >  5201 [ACK] Seq=38 Ack=279465 Win=166496 Len=0 TSval=2940931396 TSecr=528812778"
"3495","0.000010","12.574256","54.210.90.84","128.237.113.226","TCP","3099623","1514","5201  >  62388 [ACK] Seq=280913 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931357"
"3496","0.000020","12.574276","128.237.113.226","54.210.90.84","TCP","3099689","66","62388  >  5201 [ACK] Seq=38 Ack=280913 Win=167968 Len=0 TSval=2940931396 TSecr=528812778"
"3497","0.000216","12.574492","54.210.90.84","128.237.113.226","TCP","3101203","1514","5201  >  62388 [ACK] Seq=282361 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931357"
"3498","0.000005","12.574497","54.210.90.84","128.237.113.226","TCP","3102717","1514","5201  >  62388 [ACK] Seq=283809 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3499","0.000003","12.574500","54.210.90.84","128.237.113.226","TCP","3104231","1514","5201  >  62388 [ACK] Seq=285257 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3500","0.000004","12.574504","54.210.90.84","128.237.113.226","TCP","3105745","1514","5201  >  62388 [ACK] Seq=286705 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3501","0.000038","12.574542","128.237.113.226","54.210.90.84","TCP","3105811","66","62388  >  5201 [ACK] Seq=38 Ack=283809 Win=166496 Len=0 TSval=2940931397 TSecr=528812778"
"3502","0.000020","12.574562","128.237.113.226","54.210.90.84","TCP","3105877","66","62388  >  5201 [ACK] Seq=38 Ack=286705 Win=165056 Len=0 TSval=2940931397 TSecr=528812778"
"3503","0.000010","12.574572","128.237.113.226","54.210.90.84","TCP","3105943","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=286705 Win=167968 Len=0 TSval=2940931397 TSecr=528812778"
"3504","0.000007","12.574579","54.210.90.84","128.237.113.226","TCP","3107457","1514","5201  >  62388 [ACK] Seq=288153 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3505","0.000021","12.574600","128.237.113.226","54.210.90.84","TCP","3107523","66","62388  >  5201 [ACK] Seq=38 Ack=289601 Win=167968 Len=0 TSval=2940931397 TSecr=528812778"
"3506","0.000137","12.574737","54.210.90.84","128.237.113.226","TCP","3109037","1514","5201  >  62388 [ACK] Seq=289601 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3507","0.000005","12.574742","54.210.90.84","128.237.113.226","TCP","3110551","1514","5201  >  62388 [ACK] Seq=291049 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3508","0.000004","12.574746","54.210.90.84","128.237.113.226","TCP","3112065","1514","5201  >  62388 [ACK] Seq=292497 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3509","0.000003","12.574749","54.210.90.84","128.237.113.226","TCP","3113579","1514","5201  >  62388 [ACK] Seq=293945 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3510","0.000033","12.574782","128.237.113.226","54.210.90.84","TCP","3113645","66","62388  >  5201 [ACK] Seq=38 Ack=291049 Win=166496 Len=0 TSval=2940931397 TSecr=528812778"
"3511","0.000028","12.574810","128.237.113.226","54.210.90.84","TCP","3113711","66","62388  >  5201 [ACK] Seq=38 Ack=292497 Win=167968 Len=0 TSval=2940931397 TSecr=528812778"
"3512","0.000009","12.574819","128.237.113.226","54.210.90.84","TCP","3113777","66","62388  >  5201 [ACK] Seq=38 Ack=295393 Win=165056 Len=0 TSval=2940931397 TSecr=528812778"
"3513","0.000024","12.574843","128.237.113.226","54.210.90.84","TCP","3113843","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=295393 Win=167968 Len=0 TSval=2940931397 TSecr=528812778"
"3514","0.000155","12.574998","54.210.90.84","128.237.113.226","TCP","3115357","1514","5201  >  62388 [ACK] Seq=295393 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3515","0.000004","12.575002","54.210.90.84","128.237.113.226","TCP","3116871","1514","5201  >  62388 [ACK] Seq=296841 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3516","0.000004","12.575006","54.210.90.84","128.237.113.226","TCP","3118385","1514","5201  >  62388 [ACK] Seq=298289 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3517","0.000004","12.575010","54.210.90.84","128.237.113.226","TCP","3119899","1514","5201  >  62388 [ACK] Seq=299737 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3518","0.000040","12.575050","128.237.113.226","54.210.90.84","TCP","3119965","66","62388  >  5201 [ACK] Seq=38 Ack=298289 Win=165056 Len=0 TSval=2940931397 TSecr=528812778"
"3519","0.000008","12.575058","128.237.113.226","54.210.90.84","TCP","3120031","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=298289 Win=167968 Len=0 TSval=2940931397 TSecr=528812778"
"3520","0.000012","12.575070","128.237.113.226","54.210.90.84","TCP","3120097","66","62388  >  5201 [ACK] Seq=38 Ack=301185 Win=165056 Len=0 TSval=2940931397 TSecr=528812778"
"3521","0.000003","12.575073","54.210.90.84","128.237.113.226","TCP","3121611","1514","5201  >  62388 [ACK] Seq=301185 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3522","0.000015","12.575088","128.237.113.226","54.210.90.84","TCP","3121677","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=301185 Win=167968 Len=0 TSval=2940931397 TSecr=528812778"
"3523","0.000198","12.575286","54.210.90.84","128.237.113.226","TCP","3123191","1514","5201  >  62388 [ACK] Seq=302633 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3524","0.000030","12.575316","128.237.113.226","54.210.90.84","TCP","3123257","66","62388  >  5201 [ACK] Seq=38 Ack=304081 Win=166496 Len=0 TSval=2940931397 TSecr=528812778"
"3525","0.002496","12.577812","54.210.90.84","128.237.113.226","TCP","3124771","1514","5201  >  62388 [ACK] Seq=304081 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3526","0.000006","12.577818","54.210.90.84","128.237.113.226","TCP","3126285","1514","5201  >  62388 [ACK] Seq=305529 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931358"
"3527","0.000004","12.577822","54.210.90.84","128.237.113.226","TCP","3127799","1514","5201  >  62388 [ACK] Seq=306977 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931359"
"3528","0.000004","12.577826","54.210.90.84","128.237.113.226","TCP","3129313","1514","5201  >  62388 [ACK] Seq=308425 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931359"
"3529","0.000003","12.577829","54.210.90.84","128.237.113.226","TCP","3130827","1514","5201  >  62388 [ACK] Seq=309873 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931359"
"3530","0.000057","12.577886","128.237.113.226","54.210.90.84","TCP","3130893","66","62388  >  5201 [ACK] Seq=38 Ack=306977 Win=165056 Len=0 TSval=2940931400 TSecr=528812778"
"3531","0.000014","12.577900","128.237.113.226","54.210.90.84","TCP","3130959","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=306977 Win=167968 Len=0 TSval=2940931400 TSecr=528812778"
"3532","0.000030","12.577930","54.210.90.84","128.237.113.226","TCP","3132473","1514","5201  >  62388 [ACK] Seq=311321 Ack=38 Win=26880 Len=1448 TSval=528812778 TSecr=2940931359"
"3533","0.000002","12.577932","128.237.113.226","54.210.90.84","TCP","3132539","66","62388  >  5201 [ACK] Seq=38 Ack=309873 Win=167968 Len=0 TSval=2940931400 TSecr=528812778"
"3534","0.000004","12.577936","54.210.90.84","128.237.113.226","TCP","3134053","1514","5201  >  62388 [ACK] Seq=312769 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3535","0.000004","12.577940","54.210.90.84","128.237.113.226","TCP","3135567","1514","5201  >  62388 [ACK] Seq=314217 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3536","0.000012","12.577952","128.237.113.226","54.210.90.84","TCP","3135633","66","62388  >  5201 [ACK] Seq=38 Ack=311321 Win=166496 Len=0 TSval=2940931400 TSecr=528812778"
"3537","0.000009","12.577961","128.237.113.226","54.210.90.84","TCP","3135699","66","62388  >  5201 [ACK] Seq=38 Ack=314217 Win=163616 Len=0 TSval=2940931400 TSecr=528812778"
"3538","0.000001","12.577962","54.210.90.84","128.237.113.226","TCP","3137213","1514","5201  >  62388 [ACK] Seq=315665 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3539","0.000016","12.577978","128.237.113.226","54.210.90.84","TCP","3137279","66","62388  >  5201 [ACK] Seq=38 Ack=315665 Win=167968 Len=0 TSval=2940931400 TSecr=528812779"
"3540","0.000138","12.578116","54.210.90.84","128.237.113.226","TCP","3138793","1514","5201  >  62388 [ACK] Seq=317113 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3541","0.000003","12.578119","54.210.90.84","128.237.113.226","TCP","3140307","1514","5201  >  62388 [ACK] Seq=318561 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
