"No.","Delta","Time","Source","Destination","Protocol","CumBytes","Length","Info"
"1","0.000000","0.000000","128.237.113.226","54.210.90.84","TCP","78","78","62388  >  5201 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=2940919608 TSecr=0 SACK_PERM=1"
"2","0.056039","0.056039","54.210.90.84","128.237.113.226","TCP","152","74","5201  >  62388 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1386 SACK_PERM=1 TSval=528800251 TSecr=2940919608 WS=128"
"3","0.000061","0.056100","128.237.113.226","54.210.90.84","TCP","218","66","62388  >  5201 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=2940919662 TSecr=528800251"
"4","0.000027","0.056127","128.237.113.226","54.210.90.84","TCP","321","103","62388  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=131904 Len=37 TSval=2940919662 TSecr=528800251"
"5","0.048534","0.104661","54.210.90.84","128.237.113.226","TCP","387","66","5201  >  62388 [ACK] Seq=1 Ack=38 Win=26880 Len=0 TSval=528800307 TSecr=2940919662"
"6","0.011139","0.115800","54.210.90.84","128.237.113.226","TCP","1827","1440","5201  >  62388 [ACK] Seq=1 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"7","0.000007","0.115807","54.210.90.84","128.237.113.226","TCP","3267","1440","5201  >  62388 [ACK] Seq=1375 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"8","0.000019","0.115826","54.210.90.84","128.237.113.226","TCP","4707","1440","5201  >  62388 [ACK] Seq=2749 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"9","0.000005","0.115831","54.210.90.84","128.237.113.226","TCP","6147","1440","5201  >  62388 [ACK] Seq=4123 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"10","0.000005","0.115836","54.210.90.84","128.237.113.226","TCP","7587","1440","5201  >  62388 [ACK] Seq=5497 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"11","0.000005","0.115841","54.210.90.84","128.237.113.226","TCP","9027","1440","5201  >  62388 [ACK] Seq=6871 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"12","0.000005","0.115846","54.210.90.84","128.237.113.226","TCP","10467","1440","5201  >  62388 [ACK] Seq=8245 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"13","0.000006","0.115852","54.210.90.84","128.237.113.226","TCP","11907","1440","5201  >  62388 [ACK] Seq=9619 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"14","0.000012","0.115864","54.210.90.84","128.237.113.226","TCP","13347","1440","5201  >  62388 [ACK] Seq=10993 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"15","0.000005","0.115869","54.210.90.84","128.237.113.226","TCP","14787","1440","5201  >  62388 [ACK] Seq=12367 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"16","0.000583","0.116452","128.237.113.226","54.210.90.84","TCP","14853","66","62388  >  5201 [ACK] Seq=38 Ack=2749 Win=129152 Len=0 TSval=2940919717 TSecr=528800308"
"17","0.000020","0.116472","128.237.113.226","54.210.90.84","TCP","14919","66","62388  >  5201 [ACK] Seq=38 Ack=5497 Win=126400 Len=0 TSval=2940919717 TSecr=528800308"
"18","0.000017","0.116489","128.237.113.226","54.210.90.84","TCP","14985","66","62388  >  5201 [ACK] Seq=38 Ack=8245 Win=123648 Len=0 TSval=2940919717 TSecr=528800308"
"19","0.000064","0.116553","128.237.113.226","54.210.90.84","TCP","15051","66","62388  >  5201 [ACK] Seq=38 Ack=10993 Win=120896 Len=0 TSval=2940919717 TSecr=528800308"
"20","0.000039","0.116592","128.237.113.226","54.210.90.84","TCP","15117","66","62388  >  5201 [ACK] Seq=38 Ack=13741 Win=118144 Len=0 TSval=2940919717 TSecr=528800308"
"21","0.044225","0.160817","54.210.90.84","128.237.113.226","TCP","16557","1440","5201  >  62388 [ACK] Seq=13741 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"22","0.000002","0.160819","54.210.90.84","128.237.113.226","TCP","17997","1440","5201  >  62388 [ACK] Seq=15115 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"23","0.000002","0.160821","54.210.90.84","128.237.113.226","TCP","19437","1440","5201  >  62388 [ACK] Seq=16489 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"24","0.000002","0.160823","54.210.90.84","128.237.113.226","TCP","20877","1440","5201  >  62388 [ACK] Seq=17863 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"25","0.000007","0.160830","54.210.90.84","128.237.113.226","TCP","22317","1440","5201  >  62388 [ACK] Seq=19237 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"26","0.000002","0.160832","54.210.90.84","128.237.113.226","TCP","23757","1440","5201  >  62388 [ACK] Seq=20611 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"27","0.000009","0.160841","54.210.90.84","128.237.113.226","TCP","25197","1440","5201  >  62388 [ACK] Seq=21985 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"28","0.000090","0.160931","128.237.113.226","54.210.90.84","TCP","25263","66","62388  >  5201 [ACK] Seq=38 Ack=16489 Win=115392 Len=0 TSval=2940919759 TSecr=528800361"
"29","0.000011","0.160942","128.237.113.226","54.210.90.84","TCP","25329","66","62388  >  5201 [ACK] Seq=38 Ack=19237 Win=112640 Len=0 TSval=2940919759 TSecr=528800361"
"30","0.000034","0.160976","128.237.113.226","54.210.90.84","TCP","25395","66","62388  >  5201 [ACK] Seq=38 Ack=21985 Win=109920 Len=0 TSval=2940919759 TSecr=528800361"
"31","0.000015","0.160991","54.210.90.84","128.237.113.226","TCP","26835","1440","5201  >  62388 [ACK] Seq=23359 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"32","0.000003","0.160994","54.210.90.84","128.237.113.226","TCP","28275","1440","5201  >  62388 [ACK] Seq=24733 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"33","0.000011","0.161005","128.237.113.226","54.210.90.84","TCP","28341","66","62388  >  5201 [ACK] Seq=38 Ack=24733 Win=107168 Len=0 TSval=2940919759 TSecr=528800361"
"34","0.000064","0.161069","128.237.113.226","54.210.90.84","TCP","28407","66","62388  >  5201 [ACK] Seq=38 Ack=26107 Win=131072 Len=0 TSval=2940919759 TSecr=528800361"
"35","0.005096","0.166165","54.210.90.84","128.237.113.226","TCP","29847","1440","5201  >  62388 [ACK] Seq=26107 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"36","0.000006","0.166171","54.210.90.84","128.237.113.226","TCP","31287","1440","5201  >  62388 [ACK] Seq=27481 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"37","0.000004","0.166175","54.210.90.84","128.237.113.226","TCP","32727","1440","5201  >  62388 [ACK] Seq=28855 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"38","0.000005","0.166180","54.210.90.84","128.237.113.226","TCP","34167","1440","5201  >  62388 [ACK] Seq=30229 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"39","0.000001","0.166181","54.210.90.84","128.237.113.226","TCP","35607","1440","5201  >  62388 [ACK] Seq=31603 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"40","0.000060","0.166241","128.237.113.226","54.210.90.84","TCP","35673","66","62388  >  5201 [ACK] Seq=38 Ack=28855 Win=128320 Len=0 TSval=2940919764 TSecr=528800361"
"41","0.000015","0.166256","128.237.113.226","54.210.90.84","TCP","35739","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=28855 Win=131072 Len=0 TSval=2940919764 TSecr=528800361"
"42","0.000013","0.166269","128.237.113.226","54.210.90.84","TCP","35805","66","62388  >  5201 [ACK] Seq=38 Ack=31603 Win=128320 Len=0 TSval=2940919764 TSecr=528800361"
"43","0.000007","0.166276","54.210.90.84","128.237.113.226","TCP","37245","1440","5201  >  62388 [ACK] Seq=32977 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"44","0.000006","0.166282","54.210.90.84","128.237.113.226","TCP","38685","1440","5201  >  62388 [ACK] Seq=34351 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"45","0.000003","0.166285","128.237.113.226","54.210.90.84","TCP","38751","66","62388  >  5201 [ACK] Seq=38 Ack=32977 Win=131072 Len=0 TSval=2940919764 TSecr=528800361"
"46","0.000014","0.166299","54.210.90.84","128.237.113.226","TCP","40191","1440","5201  >  62388 [ACK] Seq=35725 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"47","0.000004","0.166303","54.210.90.84","128.237.113.226","TCP","41631","1440","5201  >  62388 [ACK] Seq=37099 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"48","0.000039","0.166342","128.237.113.226","54.210.90.84","TCP","41697","66","62388  >  5201 [ACK] Seq=38 Ack=35725 Win=128320 Len=0 TSval=2940919764 TSecr=528800361"
"49","0.000009","0.166351","128.237.113.226","54.210.90.84","TCP","41763","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=35725 Win=131072 Len=0 TSval=2940919764 TSecr=528800361"
"50","0.000015","0.166366","128.237.113.226","54.210.90.84","TCP","41829","66","62388  >  5201 [ACK] Seq=38 Ack=38473 Win=128320 Len=0 TSval=2940919764 TSecr=528800361"
"51","0.000003","0.166369","128.237.113.226","54.210.90.84","TCP","41895","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=38473 Win=131072 Len=0 TSval=2940919764 TSecr=528800361"
"52","0.004376","0.170745","54.210.90.84","128.237.113.226","TCP","43335","1440","5201  >  62388 [ACK] Seq=38473 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"53","0.000002","0.170747","54.210.90.84","128.237.113.226","TCP","44775","1440","5201  >  62388 [ACK] Seq=39847 Ack=38 Win=26880 Len=1374 TSval=528800361 TSecr=2940919717"
"54","0.000057","0.170804","128.237.113.226","54.210.90.84","TCP","44841","66","62388  >  5201 [ACK] Seq=38 Ack=41221 Win=128320 Len=0 TSval=2940919768 TSecr=528800361"
"55","0.000027","0.170831","128.237.113.226","54.210.90.84","TCP","44907","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=41221 Win=131072 Len=0 TSval=2940919768 TSecr=528800361"
"56","0.035467","0.206298","54.210.90.84","128.237.113.226","TCP","46347","1440","5201  >  62388 [ACK] Seq=41221 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"57","0.000153","0.206451","54.210.90.84","128.237.113.226","TCP","47787","1440","5201  >  62388 [ACK] Seq=42595 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"58","0.000003","0.206454","54.210.90.84","128.237.113.226","TCP","49227","1440","5201  >  62388 [ACK] Seq=43969 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"59","0.000038","0.206492","128.237.113.226","54.210.90.84","TCP","49293","66","62388  >  5201 [ACK] Seq=38 Ack=43969 Win=129696 Len=0 TSval=2940919801 TSecr=528800408"
"60","0.000027","0.206519","128.237.113.226","54.210.90.84","TCP","49359","66","62388  >  5201 [ACK] Seq=38 Ack=45343 Win=131072 Len=0 TSval=2940919801 TSecr=528800408"
"61","0.000069","0.206588","54.210.90.84","128.237.113.226","TCP","50799","1440","5201  >  62388 [ACK] Seq=45343 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"62","0.000003","0.206591","54.210.90.84","128.237.113.226","TCP","52239","1440","5201  >  62388 [ACK] Seq=46717 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"63","0.000028","0.206619","128.237.113.226","54.210.90.84","TCP","52305","66","62388  >  5201 [ACK] Seq=38 Ack=48091 Win=128320 Len=0 TSval=2940919802 TSecr=528800408"
"64","0.000005","0.206624","128.237.113.226","54.210.90.84","TCP","52371","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=48091 Win=131072 Len=0 TSval=2940919802 TSecr=528800408"
"65","0.000108","0.206732","54.210.90.84","128.237.113.226","TCP","53811","1440","5201  >  62388 [ACK] Seq=48091 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"66","0.000234","0.206966","54.210.90.84","128.237.113.226","TCP","55251","1440","5201  >  62388 [ACK] Seq=49465 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"67","0.000023","0.206989","128.237.113.226","54.210.90.84","TCP","55317","66","62388  >  5201 [ACK] Seq=38 Ack=50839 Win=129696 Len=0 TSval=2940919802 TSecr=528800408"
"68","0.000180","0.207169","54.210.90.84","128.237.113.226","TCP","56757","1440","5201  >  62388 [ACK] Seq=50839 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"69","0.000003","0.207172","54.210.90.84","128.237.113.226","TCP","58197","1440","5201  >  62388 [ACK] Seq=52213 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"70","0.000002","0.207174","54.210.90.84","128.237.113.226","TCP","59637","1440","5201  >  62388 [ACK] Seq=53587 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919759"
"71","0.000025","0.207199","128.237.113.226","54.210.90.84","TCP","59703","66","62388  >  5201 [ACK] Seq=38 Ack=53587 Win=128320 Len=0 TSval=2940919802 TSecr=528800408"
"72","0.000009","0.207208","128.237.113.226","54.210.90.84","TCP","59769","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=53587 Win=131072 Len=0 TSval=2940919802 TSecr=528800408"
"73","0.002849","0.210057","54.210.90.84","128.237.113.226","TCP","61209","1440","5201  >  62388 [ACK] Seq=54961 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"74","0.000003","0.210060","54.210.90.84","128.237.113.226","TCP","62649","1440","5201  >  62388 [ACK] Seq=56335 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"75","0.000002","0.210062","54.210.90.84","128.237.113.226","TCP","64089","1440","5201  >  62388 [ACK] Seq=57709 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"76","0.000060","0.210122","128.237.113.226","54.210.90.84","TCP","64155","66","62388  >  5201 [ACK] Seq=38 Ack=56335 Win=129696 Len=0 TSval=2940919805 TSecr=528800408"
"77","0.000020","0.210142","128.237.113.226","54.210.90.84","TCP","64221","66","62388  >  5201 [ACK] Seq=38 Ack=59083 Win=128320 Len=0 TSval=2940919805 TSecr=528800408"
"78","0.000018","0.210160","128.237.113.226","54.210.90.84","TCP","64287","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=59083 Win=131072 Len=0 TSval=2940919805 TSecr=528800408"
"79","0.000135","0.210295","54.210.90.84","128.237.113.226","TCP","65727","1440","5201  >  62388 [ACK] Seq=59083 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"80","0.000002","0.210297","54.210.90.84","128.237.113.226","TCP","67167","1440","5201  >  62388 [ACK] Seq=60457 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"81","0.000039","0.210336","128.237.113.226","54.210.90.84","TCP","67233","66","62388  >  5201 [ACK] Seq=38 Ack=61831 Win=128320 Len=0 TSval=2940919805 TSecr=528800408"
"82","0.000007","0.210343","128.237.113.226","54.210.90.84","TCP","67299","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=61831 Win=131072 Len=0 TSval=2940919805 TSecr=528800408"
"83","0.000017","0.210360","54.210.90.84","128.237.113.226","TCP","68739","1440","5201  >  62388 [ACK] Seq=61831 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"84","0.000003","0.210363","54.210.90.84","128.237.113.226","TCP","70179","1440","5201  >  62388 [ACK] Seq=63205 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"85","0.000023","0.210386","128.237.113.226","54.210.90.84","TCP","70245","66","62388  >  5201 [ACK] Seq=38 Ack=64579 Win=128320 Len=0 TSval=2940919805 TSecr=528800408"
"86","0.000010","0.210396","128.237.113.226","54.210.90.84","TCP","70311","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=64579 Win=131072 Len=0 TSval=2940919805 TSecr=528800408"
"87","0.000172","0.210568","54.210.90.84","128.237.113.226","TCP","71751","1440","5201  >  62388 [ACK] Seq=64579 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"88","0.000003","0.210571","54.210.90.84","128.237.113.226","TCP","73191","1440","5201  >  62388 [ACK] Seq=65953 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"89","0.000003","0.210574","54.210.90.84","128.237.113.226","TCP","74631","1440","5201  >  62388 [ACK] Seq=67327 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"90","0.000022","0.210596","128.237.113.226","54.210.90.84","TCP","74697","66","62388  >  5201 [ACK] Seq=38 Ack=67327 Win=128320 Len=0 TSval=2940919805 TSecr=528800408"
"91","0.000010","0.210606","128.237.113.226","54.210.90.84","TCP","74763","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=67327 Win=131072 Len=0 TSval=2940919805 TSecr=528800408"
"92","0.000007","0.210613","54.210.90.84","128.237.113.226","TCP","76203","1440","5201  >  62388 [ACK] Seq=68701 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"93","0.000002","0.210615","54.210.90.84","128.237.113.226","TCP","77643","1440","5201  >  62388 [ACK] Seq=70075 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"94","0.000012","0.210627","128.237.113.226","54.210.90.84","TCP","77709","66","62388  >  5201 [ACK] Seq=38 Ack=70075 Win=129696 Len=0 TSval=2940919805 TSecr=528800408"
"95","0.000019","0.210646","128.237.113.226","54.210.90.84","TCP","77775","66","62388  >  5201 [ACK] Seq=38 Ack=71449 Win=131072 Len=0 TSval=2940919805 TSecr=528800408"
"96","0.000095","0.210741","54.210.90.84","128.237.113.226","TCP","79215","1440","5201  >  62388 [ACK] Seq=71449 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"97","0.000005","0.210746","54.210.90.84","128.237.113.226","TCP","80655","1440","5201  >  62388 [ACK] Seq=72823 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"98","0.000022","0.210768","128.237.113.226","54.210.90.84","TCP","80721","66","62388  >  5201 [ACK] Seq=38 Ack=74197 Win=128320 Len=0 TSval=2940919805 TSecr=528800408"
"99","0.000011","0.210779","128.237.113.226","54.210.90.84","TCP","80787","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=74197 Win=131072 Len=0 TSval=2940919805 TSecr=528800408"
"100","0.000110","0.210889","54.210.90.84","128.237.113.226","TCP","82227","1440","5201  >  62388 [ACK] Seq=74197 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"101","0.000004","0.210893","54.210.90.84","128.237.113.226","TCP","83667","1440","5201  >  62388 [ACK] Seq=75571 Ack=38 Win=26880 Len=1374 TSval=528800408 TSecr=2940919764"
"102","0.000027","0.210920","128.237.113.226","54.210.90.84","TCP","83733","66","62388  >  5201 [ACK] Seq=38 Ack=76945 Win=128320 Len=0 TSval=2940919805 TSecr=528800408"
"103","0.000007","0.210927","128.237.113.226","54.210.90.84","TCP","83799","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=76945 Win=131072 Len=0 TSval=2940919805 TSecr=528800408"
"104","0.000082","0.211009","54.210.90.84","128.237.113.226","TCP","85239","1440","5201  >  62388 [ACK] Seq=76945 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"105","0.000003","0.211012","54.210.90.84","128.237.113.226","TCP","86679","1440","5201  >  62388 [ACK] Seq=78319 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"106","0.000002","0.211014","54.210.90.84","128.237.113.226","TCP","88119","1440","5201  >  62388 [ACK] Seq=79693 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"107","0.000023","0.211037","128.237.113.226","54.210.90.84","TCP","88185","66","62388  >  5201 [ACK] Seq=38 Ack=79693 Win=128320 Len=0 TSval=2940919805 TSecr=528800410"
"108","0.000007","0.211044","128.237.113.226","54.210.90.84","TCP","88251","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=79693 Win=131072 Len=0 TSval=2940919805 TSecr=528800410"
"109","0.000073","0.211117","54.210.90.84","128.237.113.226","TCP","89691","1440","5201  >  62388 [ACK] Seq=81067 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"110","0.000003","0.211120","54.210.90.84","128.237.113.226","TCP","91131","1440","5201  >  62388 [ACK] Seq=82441 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"111","0.000025","0.211145","128.237.113.226","54.210.90.84","TCP","91197","66","62388  >  5201 [ACK] Seq=38 Ack=82441 Win=129696 Len=0 TSval=2940919806 TSecr=528800410"
"112","0.000023","0.211168","128.237.113.226","54.210.90.84","TCP","91263","66","62388  >  5201 [ACK] Seq=38 Ack=83815 Win=131072 Len=0 TSval=2940919806 TSecr=528800410"
"113","0.000063","0.211231","54.210.90.84","128.237.113.226","TCP","92703","1440","5201  >  62388 [ACK] Seq=83815 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"114","0.000002","0.211233","54.210.90.84","128.237.113.226","TCP","94143","1440","5201  >  62388 [ACK] Seq=85189 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"115","0.000016","0.211249","128.237.113.226","54.210.90.84","TCP","94209","66","62388  >  5201 [ACK] Seq=38 Ack=86563 Win=128320 Len=0 TSval=2940919806 TSecr=528800410"
"116","0.000013","0.211262","128.237.113.226","54.210.90.84","TCP","94275","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=86563 Win=131072 Len=0 TSval=2940919806 TSecr=528800410"
"117","0.000113","0.211375","54.210.90.84","128.237.113.226","TCP","95715","1440","5201  >  62388 [ACK] Seq=86563 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"118","0.000003","0.211378","54.210.90.84","128.237.113.226","TCP","97155","1440","5201  >  62388 [ACK] Seq=87937 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"119","0.000027","0.211405","128.237.113.226","54.210.90.84","TCP","97221","66","62388  >  5201 [ACK] Seq=38 Ack=89311 Win=128320 Len=0 TSval=2940919806 TSecr=528800410"
"120","0.000006","0.211411","128.237.113.226","54.210.90.84","TCP","97287","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=89311 Win=131072 Len=0 TSval=2940919806 TSecr=528800410"
"121","0.000108","0.211519","54.210.90.84","128.237.113.226","TCP","98727","1440","5201  >  62388 [ACK] Seq=89311 Ack=38 Win=26880 Len=1374 TSval=528800410 TSecr=2940919764"
"122","0.001329","0.212848","54.210.90.84","128.237.113.226","TCP","100167","1440","5201  >  62388 [ACK] Seq=90685 Ack=38 Win=26880 Len=1374 TSval=528800413 TSecr=2940919768"
"123","0.000002","0.212850","54.210.90.84","128.237.113.226","TCP","101607","1440","5201  >  62388 [ACK] Seq=92059 Ack=38 Win=26880 Len=1374 TSval=528800413 TSecr=2940919768"
"124","0.000030","0.212880","128.237.113.226","54.210.90.84","TCP","101673","66","62388  >  5201 [ACK] Seq=38 Ack=92059 Win=129696 Len=0 TSval=2940919807 TSecr=528800410"
"125","0.000022","0.212902","128.237.113.226","54.210.90.84","TCP","101739","66","62388  >  5201 [ACK] Seq=38 Ack=93433 Win=131072 Len=0 TSval=2940919807 TSecr=528800413"
"126","0.000097","0.212999","54.210.90.84","128.237.113.226","TCP","103179","1440","5201  >  62388 [ACK] Seq=93433 Ack=38 Win=26880 Len=1374 TSval=528800413 TSecr=2940919768"
"127","0.000002","0.213001","54.210.90.84","128.237.113.226","TCP","104619","1440","5201  >  62388 [ACK] Seq=94807 Ack=38 Win=26880 Len=1374 TSval=528800413 TSecr=2940919768"
"128","0.000035","0.213036","128.237.113.226","54.210.90.84","TCP","104685","66","62388  >  5201 [ACK] Seq=38 Ack=96181 Win=128320 Len=0 TSval=2940919807 TSecr=528800413"
"129","0.000006","0.213042","128.237.113.226","54.210.90.84","TCP","104751","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=96181 Win=131072 Len=0 TSval=2940919807 TSecr=528800413"
"130","0.059946","0.272988","54.210.90.84","128.237.113.226","TCP","106191","1440","5201  >  62388 [ACK] Seq=96181 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919801"
"131","0.000003","0.272991","54.210.90.84","128.237.113.226","TCP","107631","1440","5201  >  62388 [ACK] Seq=97555 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919801"
"132","0.000002","0.272993","54.210.90.84","128.237.113.226","TCP","109071","1440","5201  >  62388 [ACK] Seq=98929 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919801"
"133","0.000008","0.273001","54.210.90.84","128.237.113.226","TCP","110511","1440","5201  >  62388 [ACK] Seq=100303 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919801"
"134","0.000003","0.273004","54.210.90.84","128.237.113.226","TCP","111951","1440","5201  >  62388 [ACK] Seq=101677 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919802"
"135","0.000005","0.273009","54.210.90.84","128.237.113.226","TCP","113391","1440","5201  >  62388 [ACK] Seq=103051 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919802"
"136","0.000243","0.273252","128.237.113.226","54.210.90.84","TCP","113457","66","62388  >  5201 [ACK] Seq=38 Ack=98929 Win=128320 Len=0 TSval=2940919864 TSecr=528800460"
"137","0.000024","0.273276","128.237.113.226","54.210.90.84","TCP","113523","66","62388  >  5201 [ACK] Seq=38 Ack=100303 Win=131072 Len=0 TSval=2940919864 TSecr=528800460"
"138","0.000028","0.273304","128.237.113.226","54.210.90.84","TCP","113589","66","62388  >  5201 [ACK] Seq=38 Ack=103051 Win=128320 Len=0 TSval=2940919864 TSecr=528800460"
"139","0.000029","0.273333","128.237.113.226","54.210.90.84","TCP","113655","66","62388  >  5201 [ACK] Seq=38 Ack=104425 Win=131072 Len=0 TSval=2940919864 TSecr=528800460"
"140","0.000022","0.273355","54.210.90.84","128.237.113.226","TCP","115095","1440","5201  >  62388 [ACK] Seq=104425 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919805"
"141","0.000004","0.273359","54.210.90.84","128.237.113.226","TCP","116535","1440","5201  >  62388 [ACK] Seq=105799 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919805"
"142","0.000003","0.273362","54.210.90.84","128.237.113.226","TCP","117975","1440","5201  >  62388 [ACK] Seq=107173 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919805"
"143","0.000004","0.273366","54.210.90.84","128.237.113.226","TCP","119415","1440","5201  >  62388 [ACK] Seq=108547 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919805"
"144","0.000015","0.273381","54.210.90.84","128.237.113.226","TCP","120855","1440","5201  >  62388 [ACK] Seq=109921 Ack=38 Win=26880 Len=1374 TSval=528800460 TSecr=2940919805"
