N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,50,0.7762280169799879,1280,1649,53.27840000000473,60.078125000000014,15.04138608305275
9,10,41,50,0.757396449704142,1280,1690,53.34400000000318,63.28125,13.07052001496446
9,11,41,50,0.7394569612940497,1280,1731,53.40960000000699,66.484375,23.277830387205388
9,12,41,50,0.7223476297968398,1280,1772,53.47519999999287,69.6875,17.497427983539094
9,13,41,50,0.7060121345835632,1280,1813,53.540799999996715,72.890625,20.242368710250656
9,14,41,50,0.6903991370010788,1280,1854,53.606399999995055,76.09375,19.028070052375607
9,15,41,50,0.6754617414248021,1280,1895,53.67199999999897,79.296875,18.65376858866442
9,16,41,50,0.6611570247933884,1280,1936,53.737599999994764,82.5,25.17992424242424
9,17,41,50,0.6474456246838645,1280,1977,53.80319999999875,85.703125,22.439046132622522
9,18,41,50,0.6342913776015857,1280,2018,53.868799999996966,88.90625,18.0807788533483
9,19,41,50,0.6216610004856726,1280,2059,53.93440000000102,92.109375,19.946265315188928
10,10,41,50,0.7515151515151515,1240,1650,53.280000000001245,65.32258064515625,13.406918648854132
10,11,41,50,0.7332939089296274,1240,1691,53.34560000000054,68.62903225806174,16.994723217841496
10,12,41,50,0.7159353348729792,1240,1732,53.41119999999956,71.93548387096938,17.284735044591677
10,13,41,50,0.6993795826283136,1240,1773,53.47680000000274,75.24193548387491,13.078816842257702
10,14,41,50,0.6835722160970231,1240,1814,53.54240000000171,78.54838709678286,10.66618997622582
10,15,41,50,0.6684636118598383,1240,1855,53.608000000002455,81.8548387096823,12.177630546806174
10,16,41,50,0.6540084388185654,1240,1896,53.673600000001365,85.16129032258914,14.333357469558186
10,17,41,50,0.6401652039235932,1240,1937,53.739200000005496,88.46774193547179,14.047916440389557
10,18,41,50,0.6268958543983822,1240,1978,53.80480000000372,91.77419354837916,14.291752651967707
10,19,41,50,0.6141654284299158,1240,2019,53.87040000000772,95.08064516128486,17.878968900474277
11,11,41,50,0.7268322228952151,1200,1651,53.2815999999939,70.91666666666997,7.715254395809952
11,12,41,50,0.7092198581560284,1200,1692,53.34719999999703,74.33333333332929,10.19354034168849
11,13,41,50,0.6924408540103866,1200,1733,53.41279999999608,77.75,8.887797730390323
11,14,41,50,0.6764374295377678,1200,1774,53.478400000000114,81.166666666672,14.36357401172216
11,15,41,50,0.6611570247933884,1200,1815,53.54399999999598,84.58333333332743,16.278603940640977
