K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,50,56.36838787879302,119.55054749172993,0.0
50,0.65,100,50,56.32358787879303,118.07995925643571,0.0
50,0.7,100,50,56.33625858586371,118.49588320177138,0.0
50,0.75,100,50,56.3507393939445,118.97122485358359,0.0
50,0.8,100,50,56.351191919196985,118.98607928020263,0.0
50,0.85,100,50,56.34259393939909,118.70384517443928,0.0
50,0.9,100,50,56.3014141414193,117.35209235209801,0.0
50,0.95,100,50,56.34214141414655,118.68899074782001,0.0
50,1.0,100,50,56.32720808081326,118.19879466938859,0.0
100,0.6,100,50,73.15220926449987,68.95115232144224,0.0
100,0.65,100,50,73.14315875944939,68.79437389415378,0.0
100,0.7,100,50,73.07709007258066,67.64989137494828,0.0
100,0.75,100,50,73.19927189076252,69.7664001433421,0.0
100,0.8,100,50,73.12867795136859,68.54352841049219,0.0
100,0.85,100,50,73.08795067864128,67.83802548769442,0.0
100,0.9,100,50,73.16669007258064,69.20199780510367,0.0
100,0.95,100,50,73.14587391096457,68.84140742234017,0.0
100,1.0,100,50,73.10424158773223,68.12022665681353,0.0
150,0.6,100,50,73.08433047662113,67.7753141167789,0.0
150,0.65,100,50,73.11962744631806,68.38674998320394,0.0
150,0.7,100,50,73.16216482005545,69.12360859145943,0.0
150,0.75,100,50,73.17936077965138,69.4214876033075,0.0
150,0.8,100,50,73.11148199177258,68.24564939864428,0.0
150,0.85,100,50,73.17483552712615,69.3430983896632,0.0
150,0.9,100,50,73.14677896146965,68.85708526506896,0.0
150,0.95,100,50,73.1983668402575,69.75072230061308,0.0
150,1.0,100,50,73.1576395675302,69.04521937781523,0.0
200,0.6,100,50,89.6821896218967,50.575027382254525,0.0
200,0.65,100,50,89.76635931886644,51.565352318362585,0.0
200,0.7,100,50,89.64417750068463,50.12778386272186,0.0
200,0.75,100,50,89.72291689462376,51.054216867468135,0.0
200,0.8,100,50,89.67268659159377,50.4632165023713,0.0
200,0.85,100,50,89.67540174310886,50.495162468052285,0.0
200,0.9,100,50,89.66454113704819,50.36737860532867,0.0
200,0.95,100,50,89.67404416735118,50.4791894852118,0.0
200,1.0,100,50,89.67268659159356,50.463216502371374,0.0
250,0.6,100,50,89.67811689462404,50.527108433733105,0.0
250,0.65,100,50,89.68218962189675,50.575027382254504,0.0
250,0.7,100,50,89.78265022795725,51.75702811244805,0.0
250,0.75,100,50,89.74056537947243,51.26186564439396,0.0
250,0.8,100,50,89.70798356129069,50.878514056223096,0.0
250,0.85,100,50,89.7215593188663,51.03824388462767,0.0
250,0.9,100,50,89.85052901583606,52.55567725447065,0.0
250,0.95,100,50,89.74599568250274,51.32575757575583,0.0
250,1.0,100,50,89.69033507644221,50.67086527929726,0.0
300,0.6,100,50,106.81441929277749,41.88148986654619,0.0
300,0.65,100,50,106.841560654034,42.123823449193885,0.0
300,0.7,100,50,106.76375541843183,41.42913384560378,0.0
300,0.75,100,50,106.7492800257618,41.299889268191706,0.0
300,0.8,100,50,106.83251353361514,42.04304558831138,0.0
300,0.85,100,50,106.80537217235864,41.828951799508964,0.05846109643487075
300,0.9,100,50,106.7945156278559,41.70377857260452,0.0
300,0.95,100,50,106.87774913570928,42.44693489272419,0.0
300,1.0,100,50,106.8270852613638,41.99457887178184,0.0
350,0.6,100,50,106.84517950220153,42.15613459354698,0.0
350,0.65,100,50,106.86327374303923,42.31555333486545,0.03272225192941571
350,0.7,100,50,106.72937636084023,41.122177974249986,0.0
350,0.75,100,50,106.8867962561282,42.52557577316018,0.009377718540747185
350,0.8,100,50,106.73118578492408,41.13833354642652,0.0
350,0.85,100,50,106.66785594199207,40.572888520248426,0.0
350,0.9,100,50,106.86327374303922,42.42400902533404,0.0
350,0.95,100,50,106.85965489487168,42.28537917095909,0.0
350,1.0,100,50,106.75832714618058,41.37853014862761,0.03272225192941571
400,0.6,100,50,123.48206555928662,37.12020848058814,0.0444705905814081
400,0.65,100,50,123.45267340975387,36.90915501714669,0.07717541952917012
400,0.7,100,50,123.27858144713707,35.661216589439114,0.0
400,0.75,100,50,123.42102032564172,36.684014143040024,0.0
400,0.8,100,50,123.43910780227723,36.80745078405153,0.09352783400305112
400,0.85,100,50,123.28988612003425,35.73809605617904,0.1379984245844592
400,0.9,100,50,123.3509313536791,36.17429039372717,0.1334117717442243
400,0.95,100,50,123.24466742844551,35.41339842011535,0.15435083905834024
400,1.0,100,50,123.32832200788471,36.0076466334193,0.21517384411362936
450,0.6,100,50,123.2672767742398,35.57789470928518,0.09352783400305112
450,0.65,100,50,123.28988612003425,35.74024352731709,0.060823005055289106
450,0.7,100,50,123.33962668078195,36.097410926987244,0.06540965789552403
450,0.75,100,50,123.31475640040804,35.91882722715218,0.04905724342164302
450,0.8,100,50,123.28310331629598,35.691538881907555,0.07717541952917012
450,0.85,100,50,123.19718780227723,35.07676084452431,0.0
450,0.9,100,50,123.2514502321838,35.46639800780086,0.0
450,0.95,100,50,123.30119079293144,35.82141793633302,0.016352414473881006
450,1.0,100,50,123.4051937835857,36.563927557003716,0.20340808247998324
500,0.6,100,50,139.78685202720598,30.957107154903806,1.2072570983168969
500,0.65,100,50,139.76241566356964,30.827620297259134,0.9556787531920747
500,0.7,100,50,139.8465853605393,31.315805592003464,1.5549216259695833
500,0.75,100,50,139.6809611181151,30.332016035321267,1.3021471872863228
500,0.8,100,50,139.69725202720608,30.447096293880893,0.8356706994954478
500,0.85,100,50,139.81671869387267,31.142926402982862,1.250914513199889
500,0.9,100,50,139.91174899690293,31.722209713498547,1.3348404112169654
500,0.95,100,50,139.75970051205445,30.7940624107676,1.5690753997444347
500,1.0,100,50,139.8873126332666,31.558216031698073,1.6737335861077718
