N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,75,0.7762280169799879,1280,1649,175.0,60.078125000000014,3.9678907126823795
9,10,41,75,0.757396449704142,1280,1690,175.0,63.28125,5.399188645716423
9,11,41,75,0.7394569612940497,1280,1731,175.0,66.484375,4.040813224841003
9,12,41,75,0.7223476297968398,1280,1772,175.0,69.6875,6.888327721661056
9,13,41,75,0.7060121345835632,1280,1813,175.0,72.890625,3.323849022633745
9,14,41,75,0.6903991370010788,1280,1854,175.0,76.09375,4.43529624953236
9,15,41,75,0.6754617414248021,1280,1895,175.0,79.296875,6.227056444070333
9,16,41,75,0.6611570247933884,1280,1936,175.0,82.5,4.489162457912458
9,17,41,75,0.6474456246838645,1280,1977,175.0,85.703125,4.170247030490086
9,18,41,75,0.6342913776015857,1280,2018,175.0,88.90625,7.03542952674897
9,19,41,75,0.6216610004856726,1280,2059,175.0,92.109375,3.3937611064347175
10,10,41,75,0.7515151515151515,1240,1650,175.0,65.32258064515625,3.0562494720200815
10,11,41,75,0.7332939089296274,1240,1691,175.0,68.62903225806174,3.345959595959596
10,12,41,75,0.7159353348729792,1240,1732,175.0,71.93548387096938,2.729988052568698
10,13,41,75,0.6993795826283136,1240,1773,175.0,75.24193548387491,5.96264315798366
10,14,41,75,0.6835722160970231,1240,1814,175.0,78.54838709678286,3.377683646500851
10,15,41,75,0.6684636118598383,1240,1855,175.0,81.8548387096823,4.046060968103979
10,16,41,75,0.6540084388185654,1240,1896,175.0,85.16129032258914,4.7641890831854985
10,17,41,75,0.6401652039235932,1240,1937,175.0,88.46774193547179,4.217669526809312
10,18,41,75,0.6268958543983822,1240,1978,175.0,91.77419354837916,5.409290032945947
10,19,41,75,0.6141654284299158,1240,2019,175.0,95.08064516128486,4.8442911794166275
11,11,41,75,0.7268322228952151,1200,1651,175.0,70.91666666666997,2.340332335702706
11,12,41,75,0.7092198581560284,1200,1692,175.0,74.33333333332929,2.113854595336077
11,13,41,75,0.6924408540103866,1200,1733,175.0,77.75,2.4109614665170223
11,14,41,75,0.6764374295377678,1200,1774,175.0,81.166666666672,3.3905723905723906
11,15,41,75,0.6611570247933884,1200,1815,175.0,84.58333333332743,2.5715488215488214
11,16,41,75,0.646551724137931,1200,1856,175.0,88.0,3.5905349794238686
11,17,41,75,0.632577754348972,1200,1898,175.0,91.5,0.7428918817807707
11,18,41,75,0.6191950464396285,1200,1938,175.0,94.83333333332597,3.603005362264622
11,19,41,75,0.6063668519454269,1200,1980,175.0,98.33333333332568,0.8941264496820053
12,12,41,75,0.7021791767554479,1160,1652,175.0,76.89655172413325,1.6835016835016834
12,13,41,75,0.6851742468989959,1160,1693,175.0,80.43103448276587,1.4552130500406362
12,14,41,75,0.6689734717416379,1160,1734,175.0,83.96551724138732,2.0411329127804225
