N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,50,0.7762280169799879,1280,1649,150.0,60.078125000000014,19.685424850355407
9,10,41,50,0.757396449704142,1280,1690,150.0,63.28125,14.74613028432473
9,11,41,50,0.7394569612940497,1280,1731,150.0,66.484375,14.955837308267864
9,12,41,50,0.7223476297968398,1280,1772,150.0,69.6875,15.92177562663674
9,13,41,50,0.7060121345835632,1280,1813,150.0,72.890625,16.61958122895623
9,14,41,50,0.6903991370010788,1280,1854,150.0,76.09375,16.10962051066218
9,15,41,50,0.6754617414248021,1280,1895,150.0,79.296875,21.15578528338945
9,16,41,50,0.6611570247933884,1280,1936,150.0,82.5,20.449927515899738
9,17,41,50,0.6474456246838645,1280,1977,150.0,85.703125,16.728511971567528
9,18,41,50,0.6342913776015857,1280,2018,150.0,88.90625,20.210057753460532
9,19,41,50,0.6216610004856726,1280,2059,150.0,92.109375,22.191431093340817
10,10,41,50,0.7515151515151515,1240,1650,150.0,65.32258064515625,15.014994629689971
10,11,41,50,0.7332939089296274,1240,1691,150.0,68.62903225806174,12.200348768449127
10,12,41,50,0.7159353348729792,1240,1732,150.0,71.93548387096938,14.299325392515359
10,13,41,50,0.6993795826283136,1240,1773,150.0,75.24193548387491,14.528438506933131
10,14,41,50,0.6835722160970231,1240,1814,150.0,78.54838709678286,14.448939816323328
10,15,41,50,0.6684636118598383,1240,1855,150.0,81.8548387096823,18.15391067183182
10,16,41,50,0.6540084388185654,1240,1896,150.0,85.16129032258914,20.25222354971459
10,17,41,50,0.6401652039235932,1240,1937,150.0,88.46774193547179,13.721202466722179
10,18,41,50,0.6268958543983822,1240,1978,150.0,91.77419354837916,13.440045617464971
10,19,41,50,0.6141654284299158,1240,2019,150.0,95.08064516128486,18.77645933649518
11,11,41,50,0.7268322228952151,1200,1651,150.0,70.91666666666997,9.562757201646091
11,12,41,50,0.7092198581560284,1200,1692,150.0,74.33333333332929,10.518144407033295
11,13,41,50,0.6924408540103866,1200,1733,150.0,77.75,12.561338695597954
11,14,41,50,0.6764374295377678,1200,1774,150.0,81.166666666672,9.362763436837511
11,15,41,50,0.6611570247933884,1200,1815,150.0,84.58333333332743,12.381687242798355
11,16,41,50,0.646551724137931,1200,1856,150.0,88.0,13.89007357525876
11,17,41,50,0.632577754348972,1200,1898,150.0,91.5,11.126356154133932
11,18,41,50,0.6191950464396285,1200,1938,150.0,94.83333333332597,8.975589225589225
