K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,40,46.68560808081263,129.96350055174238,0.0
50,0.65,100,40,46.682440404044925,129.8595195654082,0.0
50,0.7,100,40,46.76208484848929,132.47389865037567,0.0
50,0.75,100,40,46.62858989899447,128.0918427977319,0.0
50,0.8,100,40,46.7426262626308,131.83515830575345,0.0
50,0.85,100,40,46.75439191919641,132.22137339785047,0.0
50,0.9,100,40,46.80643232323679,133.9296324590505,0.0
50,0.95,100,40,46.694658585863046,130.26058908412497,0.0
50,1.0,100,40,46.700088888893326,130.43884220355437,0.0
100,0.6,100,40,63.64093653722748,77.41718739501682,0.0
100,0.65,100,40,63.71696077965171,78.73412618423964,0.0
100,0.7,100,40,63.687999163490076,78.2324352169167,0.0
100,0.75,100,40,63.62102542611641,77.0722748549822,0.0
100,0.8,100,40,63.6309809816719,77.2447311249995,0.0
100,0.85,100,40,63.5305203756114,75.50449058209816,0.0
100,0.9,100,40,63.49160320389418,74.83034334475794,0.0
100,0.95,100,40,63.57215269884364,76.22567134762488,0.0
100,1.0,100,40,63.623740577631644,77.11930838316857,0.0
150,0.6,100,40,63.457211284702204,74.23458532106184,0.0
150,0.65,100,40,63.69433451702544,78.3421801160185,0.0
150,0.7,100,40,63.583013304904256,76.413805460371,0.0
150,0.75,100,40,63.76945370894471,79.64344106251241,0.0
150,0.8,100,40,63.68347391096487,78.15404600327217,0.0
150,0.85,100,40,63.79660522409618,80.11377634437758,0.0
150,0.9,100,40,63.639126436217396,77.38583170955911,0.0
150,0.95,100,40,63.70881532510636,78.59302559967995,0.0
150,1.0,100,40,63.585728456419396,76.4608389885573,0.0
200,0.6,100,40,80.31074719765307,57.97051843738418,0.0
200,0.65,100,40,80.31753507644073,58.05038335158642,0.0
200,0.7,100,40,80.33111083401666,58.21011317999092,0.0
200,0.75,100,40,80.13561992492556,55.910003650965784,0.0
200,0.8,100,40,80.32432295522871,58.13024826578859,0.0
200,0.85,100,40,80.41935325825897,59.24835706462039,0.0
200,0.9,100,40,80.45329265219834,59.64556880721362,0.05611672278338946
200,0.95,100,40,80.22386234916812,56.948247535595264,0.0
200,1.0,100,40,80.44514719765286,59.55184373858901,0.0
250,0.6,100,40,80.18313507644072,56.46905805038164,0.0
250,0.65,100,40,80.38134113704679,58.801113545087716,0.0
250,0.7,100,40,80.34332901583467,58.353870025555004,0.0
250,0.75,100,40,80.45465022795591,59.66365461847211,0.0
250,0.8,100,40,80.23879568250153,57.12395034684007,0.0
250,0.85,100,40,80.14919568250149,56.069733479370285,0.0
250,0.9,100,40,80.24558356128927,57.20381526104242,0.0
250,0.95,100,40,80.35690477341053,58.51148702554147,0.03979909417261663
250,1.0,100,40,80.29581386431958,57.794815626139204,0.0
300,0.6,100,40,97.68475227707017,49.64804612255671,0.08419994094032579
300,0.65,100,40,97.55628316712243,48.50527445891726,0.0
300,0.7,100,40,97.56171143937382,48.551604195000245,0.04908337789412356
300,0.75,100,40,97.62504128230569,49.11918620162482,0.0
300,0.8,100,40,97.71732191057795,49.94312038262717,0.0
300,0.85,100,40,97.56894913570875,48.61622648370621,0.04908337789412356
300,0.9,100,40,97.41152924042098,47.21282868479611,0.0
300,0.95,100,40,97.41333866450475,47.226847276525994,0.042099970470162895
300,1.0,100,40,97.52190410953092,48.19618160711691,0.03272225192941571
350,0.6,100,40,97.8258873556041,50.910317732771325,0.06544450385883142
350,0.65,100,40,97.57437740796026,48.66255621978928,0.1169221928697415
350,0.7,100,40,97.3988632718345,47.09546571866724,0.06544450385883142
350,0.75,100,40,97.49476274827433,47.99941318590713,0.016361125964707856
350,0.8,100,40,97.53818892628475,48.34371873715215,0.0
350,0.85,100,40,97.48028735560415,47.824603447057015,0.0748222223995786
350,0.9,100,40,97.47304965926908,47.75998115835102,0.05846109643487075
350,0.95,100,40,97.71370306241039,49.90867225782743,0.016361125964707856
350,1.0,100,40,97.54180777445221,48.42159504294314,0.0
400,0.6,100,40,114.05408200788499,41.20830633655293,0.47681247569572544
400,0.65,100,40,114.27565359667011,42.79502981098941,0.748222672024409
400,0.7,100,40,113.90712126022146,40.16162890389762,0.3649380303317346
400,0.75,100,40,114.09703976489436,41.5210640330895,0.3741113360122045
400,0.8,100,40,114.18973808265136,42.18669418702021,0.4303476882272587
400,0.85,100,40,114.11738817610933,41.660735555904196,0.7456302160712327
400,0.9,100,40,114.29600200788498,42.95402857404604,0.2877626108025645
400,0.95,100,40,114.10608350321206,41.58815103144022,0.3459931599046774
400,1.0,100,40,114.19878182096907,42.369744626822275,0.4231685794338475
450,0.6,100,40,114.13773658732421,41.81973431896082,0.3414065070644425
450,0.65,100,40,114.0970397648943,41.521064033089445,0.40222951211973157
450,0.7,100,40,114.06086481162322,41.26774833765241,0.33681985422420757
450,0.75,100,40,114.50174705461401,44.41422304903232,0.7835199569253471
450,0.8,100,40,114.27791453124951,42.811264692792584,0.5846985272855989
450,0.85,100,40,114.15808499853917,42.137645946228545,0.4139952737533777
450,0.9,100,40,114.19425995181012,42.2148690083506,0.5075231077564288
450,0.95,100,40,113.92294780227756,40.26453572082999,0.67822636128865
450,1.0,100,40,114.29600200788495,43.007715352495715,0.5775194184921877
500,0.6,100,40,130.378755057509,34.453252311310315,2.876605008043729
500,0.65,100,40,130.6801368756909,36.22207211753725,4.186327454533494
500,0.7,100,40,130.46563990599378,34.95989875697801,3.5968526791498965
500,0.75,100,40,130.38147020902417,34.47171346223369,3.059607322484765
500,0.8,100,40,130.21041566356962,33.45747163323396,2.4069389374303527
500,0.85,100,40,130.41133687569084,34.65537603380299,3.3135778547264634
500,0.9,100,40,130.33802778478176,34.225938607183906,2.949566715108456
500,0.95,100,40,130.34345808781197,34.26070423252087,2.815604236563384
500,1.0,100,40,130.19140960296355,33.33040025328018,3.3975037527435394
