K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,100,106.35028686869296,118.95637042696447,0.0
50,0.65,100,100,106.3412363636425,118.65928189458157,0.0
50,0.7,100,100,106.36250505051109,119.35743994568094,0.0
50,0.75,100,100,106.35571717172328,119.134623546394,0.0
50,0.8,100,100,106.37110303030917,119.6396740514444,0.0
50,0.85,100,100,106.31861010101622,117.91656056362496,0.0
50,0.9,100,100,106.31091717172328,117.66403531109982,0.0
50,0.95,100,100,106.31136969697576,117.67888973771913,0.0
50,1.0,100,100,106.3163474747536,117.84228843052931,0.0
100,0.6,100,100,123.15492441601442,68.99818584962875,0.0
100,0.65,100,100,123.21194259783265,69.98588994154576,0.0
100,0.7,100,100,123.14587391096393,68.84140742234035,0.0
100,0.75,100,100,123.21918300187306,70.11131268337633,0.0
100,0.8,100,100,123.12867795136792,68.54352841049234,0.0
100,0.85,100,100,123.07709007258002,67.64989137494837,0.0
100,0.9,100,100,123.11600724429721,68.32403861228849,0.0
100,0.95,100,100,123.13410825439824,68.63759546686539,0.0
100,1.0,100,100,123.16940522409527,69.24903133329006,0.0
150,0.6,100,100,123.19927189076196,69.76640014334198,0.0
150,0.65,100,100,123.16578502207499,69.18631996237458,0.0
150,0.7,100,100,123.17936077965078,69.42148760330728,0.0
150,0.75,100,100,123.1105769412669,68.22997155591536,0.0
150,0.8,100,100,123.14134865843862,68.7630182086961,0.0
150,0.85,100,100,123.08614057763056,67.80666980223681,0.0
150,0.9,100,100,123.10967189076192,68.21429371318654,0.0
150,0.95,100,100,123.1169122948023,68.33971645501734,0.0
150,1.0,100,100,123.23547391096393,70.39351385249591,0.0
200,0.6,100,100,139.66861386432475,50.41529755385001,0.0
200,0.65,100,100,139.71884416735497,51.00629791894674,0.0
200,0.7,100,100,139.70526840977928,50.846568090542206,0.0
200,0.75,100,100,139.6740441673549,50.479189485211855,0.0
200,0.8,100,100,139.80301386432464,51.9966228550548,0.0
200,0.85,100,100,139.80980174311244,52.0764877692571,0.0
200,0.9,100,100,139.68490477341564,50.60697334793545,0.0
200,0.95,100,100,139.64689265220366,50.159729828402774,0.0
200,1.0,100,100,139.7527835612945,51.40562248995805,0.0
250,0.6,100,100,139.67404416735502,50.4791894852118,0.0
250,0.65,100,100,139.73241992493075,51.166027747351244,0.0
250,0.7,100,100,139.66046840977924,50.31945965680724,0.0
250,0.75,100,100,139.6726865915974,50.46321650237135,0.0
250,0.8,100,100,139.67268659159743,50.46321650237135,0.0
250,0.85,100,100,139.6306017431125,49.96805403431736,0.0
250,0.9,100,100,139.74871083402178,51.35770354143671,0.0
250,0.95,100,100,139.7161290158398,50.974351953265874,0.0
250,1.0,100,100,139.73377750068835,51.18200073019177,0.0
300,0.6,100,100,156.7908967796894,41.671467428251525,0.0
300,0.65,100,100,156.82165698911348,41.94611215525223,0.0
300,0.7,100,100,156.82527583728105,41.97842329960531,0.0
300,0.75,100,100,156.7185198163387,41.02524454119094,0.0
300,0.8,100,100,156.8162287168622,41.89764543872273,0.0
300,0.85,100,100,156.87774913571013,42.44693489272419,0.0
300,0.9,100,100,156.82889468544863,42.010734443958306,0.0
300,0.95,100,100,156.74928002576266,41.29988926819166,0.0
300,1.0,100,100,156.69861615141707,40.847533247249196,0.0
350,0.6,100,100,156.81622871686207,41.8976454387228,0.0
