N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,75,0.7762280169799879,1280,1649,78.27840000000646,60.078125000000014,0.9537212401795735
9,10,41,75,0.757396449704142,1280,1690,78.34399999999667,63.28125,0.0
9,11,41,75,0.7394569612940497,1280,1731,78.4096000000091,66.484375,0.0
9,12,41,75,0.7223476297968398,1280,1772,78.47519999999075,69.6875,0.9080387205387206
9,13,41,75,0.7060121345835632,1280,1813,78.54080000000319,72.890625,0.0
9,14,41,75,0.6903991370010788,1280,1854,78.60639999999334,76.09375,0.2899364010475121
9,15,41,75,0.6754617414248021,1280,1895,78.67200000000581,79.296875,0.0
9,16,41,75,0.6611570247933884,1280,1936,78.73759999999425,82.5,0.0
9,17,41,75,0.6474456246838645,1280,1977,78.80320000000674,85.703125,0.5580398896371118
9,18,41,75,0.6342913776015857,1280,2018,78.86879999999684,88.90625,0.0
9,19,41,75,0.6216610004856726,1280,2059,78.93440000000938,92.109375,0.48143471754582867
10,10,41,75,0.7515151515151515,1240,1650,78.28000000000976,65.32258064515625,0.2775665858103134
10,11,41,75,0.7332939089296274,1240,1691,78.34560000000053,68.62903225806174,0.44146663770319683
10,12,41,75,0.7159353348729792,1240,1732,78.41119999999115,71.93548387096938,0.0
10,13,41,75,0.6993795826283136,1240,1773,78.47680000000314,75.24193548387491,0.0
10,14,41,75,0.6835722160970231,1240,1814,78.54239999999373,78.54838709678286,0.0
10,15,41,75,0.6684636118598383,1240,1855,78.60800000000404,81.8548387096823,0.0
10,16,41,75,0.6540084388185654,1240,1896,78.6735999999946,85.16129032258914,0.0
10,17,41,75,0.6401652039235932,1240,1937,78.73920000000722,88.46774193547179,0.0
10,18,41,75,0.6268958543983822,1240,1978,78.80479999999731,91.77419354837916,0.43565885859792663
10,19,41,75,0.6141654284299158,1240,2019,78.87040000000982,95.08064516128486,0.0
11,11,41,75,0.7268322228952151,1200,1651,78.28159999999187,70.91666666666997,0.0
11,12,41,75,0.7092198581560284,1200,1692,78.34720000000384,74.33333333332929,0.0
11,13,41,75,0.6924408540103866,1200,1733,78.41279999999445,77.75,0.0
11,14,41,75,0.6764374295377678,1200,1774,78.47840000000701,81.166666666672,0.0
11,15,41,75,0.6611570247933884,1200,1815,78.54399999999548,84.58333333332743,0.0
11,16,41,75,0.646551724137931,1200,1856,78.60960000000794,88.0,0.0
11,17,41,75,0.632577754348972,1200,1898,78.67680000000199,91.5,0.0
11,18,41,75,0.6191950464396285,1200,1938,78.74080000001057,94.83333333332597,0.2420501309390198
11,19,41,75,0.6063668519454269,1200,1980,78.80800000000464,98.33333333332568,0.11379224342187307
12,12,41,75,0.7021791767554479,1160,1652,78.28320000000438,76.89655172413325,0.0
12,13,41,75,0.6851742468989959,1160,1693,78.348799999995,80.43103448276587,0.3339428770463253
12,14,41,75,0.6689734717416379,1160,1734,78.41440000000527,83.96551724138732,0.0
12,15,41,75,0.6535211267605633,1160,1776,78.48159999999919,87.58620689656358,0.0
12,16,41,75,0.6387665198237885,1160,1816,78.5456000000079,91.03448275861237,0.0
12,17,41,75,0.624663435648896,1160,1857,78.61119999999845,94.56896551723162,0.0
12,18,41,75,0.6111696522655427,1160,1898,78.67680000000199,98.10344827587049,0.1337448559670782
12,19,41,75,0.5982465188241362,1160,1939,78.74239999999253,101.63793103448792,0.0
13,13,41,75,0.677555958862674,1120,1653,78.28480000000594,83.30357142857648,0.0
13,14,41,75,0.6611570247933884,1120,1694,78.35039999999658,86.96428571427639,0.0
13,15,41,75,0.6455331412103746,1120,1735,78.41600000000858,90.625,0.0
13,16,41,75,0.6306306306306306,1120,1776,78.48159999999919,94.28571428572482,0.0
13,17,41,75,0.6164006604292791,1120,1817,78.54719999998993,97.94642857142303,0.3468881941104163
13,18,41,75,0.6027987082884823,1120,1858,78.61280000000237,101.60714285714877,0.0
13,19,41,75,0.5897840968931016,1120,1899,78.6783999999925,105.26785714285086,0.0
14,14,41,75,0.652962515114873,1080,1654,78.28639999999662,90.18518518518,0.0
14,15,41,75,0.6371681415929203,1080,1695,78.35200000000901,93.98148148147226,0.0
14,16,41,75,0.6221198156682027,1080,1736,78.41759999999066,97.77777777776627,0.0
14,17,41,75,0.6077658975801914,1080,1777,78.48320000000308,101.5740740740861,0.2627440384642031
14,18,41,75,0.5940594059405941,1080,1818,78.54879999999325,105.37037037037719,0.0
14,19,41,75,0.5809575040344271,1080,1859,78.61440000000572,109.1666666666697,0.0
15,15,41,75,0.6283987915407855,1040,1655,78.28800000000044,97.59615384614143,0.11268309879420992
15,16,41,75,0.6132075471698114,1040,1696,78.35359999999108,101.53846153845433,0.0
15,17,41,75,0.5987334484743811,1040,1737,78.41920000000304,105.48076923076168,0.0
15,18,41,75,0.5849268841394826,1040,1778,78.48479999999364,109.42307692307274,0.0
15,19,41,75,0.5717427157779,1040,1819,78.55040000000395,113.36538461537808,0.0
16,16,41,75,0.6038647342995169,1000,1656,78.28960000000373,105.59999999998944,0.0
16,17,41,75,0.5892751915144373,1000,1697,78.3551999999945,109.7000000000024,0.0
16,18,41,75,0.5753739930955121,1000,1738,78.42080000000692,113.79999999999936,0.0
16,19,41,75,0.5621135469364812,1000,1779,78.48639999999538,117.9000000000119,0.0
17,17,41,75,0.5793602896801447,960,1658,78.29279999999649,114.375,0.0
17,18,41,75,0.5653710247349824,960,1698,78.35680000000518,118.54166666666639,0.0
17,19,41,75,0.5520414031052329,960,1739,78.42239999999579,122.81249999999997,0.0
18,18,41,75,0.5548854041013269,920,1658,78.29279999999649,123.69565217391317,0.0
18,19,41,75,0.5414949970570924,920,1700,78.35999999999056,128.26086956522045,0.0
19,19,41,75,0.5304400241109102,880,1659,78.2944000000089,133.97727272728525,0.0
