K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,40,46.17696969697457,113.26712503183631,0.0
50,0.65,100,40,46.16610909091397,112.91061879297709,0.0
50,0.7,100,40,46.162036363641235,112.77692895340495,0.0
50,0.75,100,40,46.15886868687357,112.67294796707097,0.0
50,0.8,100,40,46.16565656566143,112.89576436635802,0.0
50,0.85,100,40,46.16972929293417,113.02945420593035,0.0
50,0.9,100,40,46.140315151520014,112.06391647568658,0.0
50,0.95,100,40,46.14710303030789,112.28673287497351,0.0
50,1.0,100,40,46.14484040404528,112.2124607418779,0.0
100,0.6,100,40,62.88521936551017,64.32618871643366,0.0
100,0.65,100,40,62.874358759449564,64.13805460368765,0.0
100,0.7,100,40,62.89336482005563,64.46728930099326,0.0
100,0.75,100,40,62.878884011974826,64.21644381733175,0.0
100,0.8,100,40,62.88612441601525,64.34186655916255,0.0
100,0.85,100,40,62.86711835540915,64.01263186185679,0.0
100,0.9,100,40,62.912370880661705,64.79652399829895,0.0
100,0.95,100,40,62.90332037561118,64.63974557101056,0.0
100,1.0,100,40,62.85173249682331,63.746108535466554,0.0
150,0.6,100,40,62.87164360793443,64.09102107550102,0.0
150,0.65,100,40,62.898795123085925,64.56135635736632,0.0
150,0.7,100,40,62.87616886045968,64.16941028914529,0.0
150,0.75,100,40,62.90784562813646,64.71813478465471,0.0
150,0.8,100,40,62.87978906247989,64.2321216600606,0.0
150,0.85,100,40,62.86711835540919,64.01263186185678,0.0
150,0.9,100,40,62.89789007258086,64.54567851463744,0.0
150,0.95,100,40,62.872548658439435,64.1066989182299,0.0
150,1.0,100,40,62.937712294803106,65.23550359470659,0.0
200,0.6,100,40,79.38623810674383,47.09291712303584,0.0
200,0.65,100,40,79.42425022795598,47.540160642568495,0.0
200,0.7,100,40,79.39981386431954,47.25264695144038,0.0
200,0.75,100,40,79.42696537947108,47.572106608249435,0.0
200,0.8,100,40,79.37673507644082,46.981106243152674,0.0
200,0.85,100,40,79.40660174310747,47.33251186564263,0.0
200,0.9,100,40,79.41610477341057,47.44432274552577,0.0
200,0.95,100,40,79.42153507644079,47.50821467688765,0.0
200,1.0,100,40,79.39166840977416,47.15680905439764,0.0
250,0.6,100,40,79.36044416734993,46.78943044906724,0.0
250,0.65,100,40,79.41203204613778,47.39640379700443,0.0
250,0.7,100,40,79.3767350764408,46.98110624315264,0.0
250,0.75,100,40,79.37537750068316,46.96513326031222,0.0
250,0.8,100,40,79.39031083401655,47.1408360715572,0.0
250,0.85,100,40,79.3658744703802,46.853322380429056,0.0
250,0.9,100,40,79.34958356128926,46.66164658634362,0.0
250,0.95,100,40,79.36315931886506,46.821376414748116,0.0
250,1.0,100,40,79.38895325825901,47.1248630887167,0.0
300,0.6,100,40,96.41091772209668,38.367790613612634,0.016361125964707856
300,0.65,100,40,96.40910829801297,38.26264169900684,0.0
300,0.7,100,40,96.41272714618046,38.29495284335986,0.0
300,0.75,100,40,96.35844442366741,37.810285678064375,0.0
300,0.8,100,40,96.35663499958365,37.794130105887874,0.0
300,0.85,100,40,96.41634599434796,38.32726398771288,0.0
300,0.9,100,40,96.43805908335321,38.52113085383107,0.0
300,0.95,100,40,96.41091772209667,38.278797271183315,0.0
300,1.0,100,40,96.42358369068307,38.39188627641892,0.0
350,0.6,100,40,96.40187060167787,38.198019410300766,0.0
350,0.65,100,40,96.39463290534273,38.13339712159472,0.0
350,0.7,100,40,96.38920463309148,38.08493040506516,0.0
350,0.75,100,40,96.43082138701817,38.45650856512501,0.0
350,0.8,100,40,96.41634599434805,38.3272639877129,0.0
350,0.85,100,40,96.43805908335321,38.51899387338444,0.009377718540747185
350,0.9,100,40,96.42901196293442,38.440352992948505,0.0
350,0.95,100,40,96.36930096816998,37.90721911112349,0.0
350,1.0,100,40,96.42720253885064,38.42419742077196,0.0
400,0.6,100,40,112.89422256863254,32.90128668289709,0.0
400,0.65,100,40,112.88517883031481,32.83634715568434,0.0
400,0.7,100,40,112.90778817610916,32.99869597371621,0.0
400,0.75,100,40,112.90100537237085,32.94784385716864,0.01176576163364609
400,0.8,100,40,112.86483041909982,32.69023321945565,0.0
400,0.85,100,40,112.85804761536156,32.641528574046056,0.0
400,0.9,100,40,113.05022705461388,34.021493527317084,0.0
400,0.95,100,40,112.89422256863259,32.901286682897094,0.0
400,1.0,100,40,112.91683191442695,33.063635500928946,0.0
450,0.6,100,40,112.91004911068863,33.0149308555194,0.0
450,0.65,100,40,112.88743976489424,32.85258203748754,0.0
450,0.7,100,40,112.85352574620266,32.60905881043969,0.0
450,0.75,100,40,112.9010053723709,32.94999132830666,0.0
450,0.8,100,40,112.90552724152977,32.98246109191303,0.0
450,0.85,100,40,112.89648350321204,32.91752156470029,0.0
450,0.9,100,40,112.92813658732419,33.14480990994493,0.0
450,0.95,100,40,112.89422256863257,32.901286682897066,0.0
450,1.0,100,40,112.88517883031484,32.83634715568433,0.0
500,0.6,100,40,129.3877247544787,28.60995297582548,0.2266597293240277
500,0.65,100,40,129.43116717872113,28.87082456644341,0.28985333899484284
500,0.7,100,40,129.39858536053933,28.67732754998971,0.1939665053933852
500,0.75,100,40,129.43931263326658,28.919737989684275,0.2756995652199915
500,0.8,100,40,129.43659748175142,28.905590191780398,0.23862066490840914
500,0.85,100,40,129.4447429362969,28.956660291531012,0.27789240341046145
500,0.9,100,40,129.46917929993327,29.094773855214644,0.33670033670033667
500,0.95,100,40,129.43931263326658,28.917581313174544,0.2364278267179392
500,1.0,100,40,129.40944596659998,28.738232094624713,0.21031311735870648
