N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,50,0.7762280169799879,1280,1649,53.27840000000473,60.078125000000014,48.392942737560794
9,10,41,50,0.757396449704142,1280,1690,53.34400000000318,63.28125,44.228891928544705
9,11,41,50,0.7394569612940497,1280,1731,53.40960000000699,66.484375,45.60182262439207
9,12,41,50,0.7223476297968398,1280,1772,53.47519999999287,69.6875,48.558793958099514
9,13,41,50,0.7060121345835632,1280,1813,53.540799999996715,72.890625,49.60751905630378
9,14,41,50,0.6903991370010788,1280,1854,53.606399999995055,76.09375,58.85706018518518
9,15,41,50,0.6754617414248021,1280,1895,53.67199999999897,79.296875,53.527096777964836
9,16,41,50,0.6611570247933884,1280,1936,53.737599999994764,82.5,61.26087261503928
9,17,41,50,0.6474456246838645,1280,1977,53.80319999999875,85.703125,56.42837518705575
9,18,41,50,0.6342913776015857,1280,2018,53.868799999996966,88.90625,56.47122264309764
9,19,41,50,0.6216610004856726,1280,2059,53.93440000000102,92.109375,55.255141110175835
10,10,41,50,0.7515151515151515,1240,1650,53.280000000001245,65.32258064515625,42.604962407829795
10,11,41,50,0.7332939089296274,1240,1691,53.34560000000054,68.62903225806174,34.939780118991585
10,12,41,50,0.7159353348729792,1240,1732,53.41119999999956,71.93548387096938,42.17799259017897
10,13,41,50,0.6993795826283136,1240,1773,53.47680000000274,75.24193548387491,46.177199111786926
10,14,41,50,0.6835722160970231,1240,1814,53.54240000000171,78.54838709678286,46.58798257364566
10,15,41,50,0.6684636118598383,1240,1855,53.608000000002455,81.8548387096823,56.541444915100826
10,16,41,50,0.6540084388185654,1240,1896,53.673600000001365,85.16129032258914,45.103846107430336
10,17,41,50,0.6401652039235932,1240,1937,53.739200000005496,88.46774193547179,49.74053558282949
10,18,41,50,0.6268958543983822,1240,1978,53.80480000000372,91.77419354837916,50.425974198375634
10,19,41,50,0.6141654284299158,1240,2019,53.87040000000772,95.08064516128486,58.076704922583055
11,11,41,50,0.7268322228952151,1200,1651,53.2815999999939,70.91666666666997,33.77847923681257
11,12,41,50,0.7092198581560284,1200,1692,53.34719999999703,74.33333333332929,38.00879161990273
11,13,41,50,0.6924408540103866,1200,1733,53.41279999999608,77.75,39.42661179698217
11,14,41,50,0.6764374295377678,1200,1774,53.478400000000114,81.166666666672,33.25143409402669
11,15,41,50,0.6611570247933884,1200,1815,53.54399999999598,84.58333333332743,43.16365818680634
11,16,41,50,0.646551724137931,1200,1856,53.60959999999987,88.0,38.617969821673526
11,17,41,50,0.632577754348972,1200,1898,53.67679999999562,91.5,39.253304651452794
11,18,41,50,0.6191950464396285,1200,1938,53.74080000000214,94.83333333332597,41.232759695722656
11,19,41,50,0.6063668519454269,1200,1980,53.80799999999794,98.33333333332568,48.10948996134181
12,12,41,50,0.7021791767554479,1160,1652,53.283200000003944,76.89655172413325,40.497052259504365
12,13,41,50,0.6851742468989959,1160,1693,53.34880000000302,80.43103448276587,36.492430692622264
12,14,41,50,0.6689734717416379,1160,1734,53.414400000003646,83.96551724138732,42.234896861333645
12,15,41,50,0.6535211267605633,1160,1776,53.4815999999992,87.58620689656358,37.10244204497078
12,16,41,50,0.6387665198237885,1160,1816,53.54560000000586,91.03448275861237,34.63633783557155
12,17,41,50,0.624663435648896,1160,1857,53.61120000000481,94.56896551723162,43.39657752493002
12,18,41,50,0.6111696522655427,1160,1898,53.67679999999562,98.10344827587049,35.76773481945896
12,19,41,50,0.5982465188241362,1160,1939,53.74239999999452,101.63793103448792,36.18804584800753
13,13,41,50,0.677555958862674,1120,1653,53.2847999999979,83.30357142857648,30.330069878680987
13,14,41,50,0.6611570247933884,1120,1694,53.35039999999699,86.96428571427639,27.629602907380686
13,15,41,50,0.6455331412103746,1120,1735,53.41600000000016,90.625,31.4797278338945
13,16,41,50,0.6306306306306306,1120,1776,53.4815999999992,94.28571428572482,36.02880658436214
13,17,41,50,0.6164006604292791,1120,1817,53.547199999998405,97.94642857142303,30.45157260435038
13,18,41,50,0.6027987082884823,1120,1858,53.61280000000227,101.60714285714877,32.084201806424026
13,19,41,50,0.5897840968931016,1120,1899,53.67840000000054,105.26785714285086,35.56596053123831
14,14,41,50,0.652962515114873,1080,1654,53.286400000003155,90.18518518518,27.93729475828241
14,15,41,50,0.6371681415929203,1080,1695,53.352000000006896,93.98148148147226,31.68282620443114
14,16,41,50,0.6221198156682027,1080,1736,53.41759999999279,97.77777777776627,23.97105485582852
14,17,41,50,0.6077658975801914,1080,1777,53.4831999999966,101.5740740740861,25.459065968325227
14,18,41,50,0.5940594059405941,1080,1818,53.54879999999497,105.37037037037719,33.43770350971997
14,19,41,50,0.5809575040344271,1080,1859,53.614399999998874,109.1666666666697,24.921349988222417
15,15,41,50,0.6283987915407855,1040,1655,53.288000000000444,97.59615384614143,21.438656508100955
15,16,41,50,0.6132075471698114,1040,1696,53.35359999999951,101.53846153845433,25.33792339347895
15,17,41,50,0.5987334484743811,1040,1737,53.41920000000265,105.48076923076168,25.64643946588391
15,18,41,50,0.5849268841394826,1040,1778,53.48480000000165,109.42307692307274,26.944912083800972
15,19,41,50,0.5717427157779,1040,1819,53.55040000000236,113.36538461537808,26.827660508216063
16,16,41,50,0.6038647342995169,1000,1656,53.289599999996916,105.59999999998944,24.616984661429107
16,17,41,50,0.5892751915144373,1000,1697,53.35519999999621,109.7000000000024,20.003123830901608
16,18,41,50,0.5753739930955121,1000,1738,53.420799999999986,113.79999999999936,17.68028432472877
16,19,41,50,0.5621135469364812,1000,1779,53.48639999999589,117.9000000000119,23.592274597830155
17,17,41,50,0.5793602896801447,960,1658,53.29279999999691,114.375,14.19889481232074
17,18,41,50,0.5653710247349824,960,1698,53.356800000003545,118.54166666666639,19.8745557426113
17,19,41,50,0.5520414031052329,960,1739,53.42240000000259,122.81249999999997,18.325812133682504
