K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,100,106.3204202020264,117.97597827010148,0.0
50,0.65,100,100,106.3353535353596,118.46617434853314,0.0
50,0.7,100,100,106.31182222222827,117.6937441643385,0.0
50,0.75,100,100,106.32087272727883,117.99083269672067,0.0
50,0.8,100,100,106.36929292929906,119.58025634496813,0.0
50,0.85,100,100,106.31317979798598,117.73830744419531,0.0
50,0.9,100,100,106.33761616162234,118.54044648162865,0.0
50,0.95,100,100,106.32901818182432,118.25821237586517,0.0
50,1.0,100,100,106.35752727273342,119.19404125287046,0.0
100,0.6,100,100,123.13772845641847,68.70030683778079,0.0
100,0.65,100,100,123.13953855742847,68.73166252323828,0.0
100,0.7,100,100,123.17664562813563,69.37445407512097,0.0
100,0.75,100,100,123.09700118369116,67.99480391498278,0.0
100,0.8,100,100,123.12324764833762,68.4494613541192,0.0
100,0.85,100,100,123.1060516887417,68.15158234227131,0.0
100,0.9,100,100,123.09971633520627,68.04183744316927,0.0
100,0.95,100,100,123.13410825439823,68.63759546686525,0.0
100,1.0,100,100,123.08523552712546,67.79099195950792,0.0
150,0.6,100,100,123.21465774934785,70.03292346973231,0.0
150,0.65,100,100,123.1006213857114,68.05751528589822,0.0
150,0.7,100,100,123.15130421399424,68.93547447871336,0.0
150,0.75,100,100,123.18298098167104,69.48419897422278,0.0
150,0.8,100,100,123.07165976954977,67.55582431857509,0.0
150,0.85,100,100,123.08976077965076,67.8693811731521,0.0
150,0.9,100,100,123.11691229480228,68.33971645501734,0.0
150,0.95,100,100,123.09247593116592,67.91641470133854,0.0
150,1.0,100,100,123.12143754732747,68.41810566866144,0.0
200,0.6,100,100,139.7541411370519,51.42159547279854,0.0
200,0.65,100,100,139.6903350764459,50.670865279297274,0.0
200,0.7,100,100,139.68354719765807,50.591000365094935,0.0
200,0.75,100,100,139.79351083402187,51.88481197517159,0.0
200,0.8,100,100,139.59666234917344,49.56872946330598,0.0
200,0.85,100,100,139.6414623491733,50.09583789704094,0.0
200,0.9,100,100,139.71205628856703,50.926433004744524,0.0
200,0.95,100,100,139.7554987128095,51.43756845563894,0.0
200,1.0,100,100,139.61023810674908,49.7284592917105,0.0
250,0.6,100,100,139.76907447038548,51.59729828404347,0.0
250,0.65,100,100,139.78536537947602,51.78897407812895,0.0
250,0.7,100,100,139.66318356129452,50.35140562248819,0.0
250,0.75,100,100,139.7392078037187,51.245892661553526,0.0
250,0.8,100,100,139.62381386432486,49.888189120114994,0.0
250,0.85,100,100,139.67268659159754,50.46321650237137,0.0
250,0.9,100,100,139.65096537947628,50.20764877692418,0.0
250,0.95,100,100,139.70391083402168,50.830595107701775,0.0
250,1.0,100,100,139.6509653794761,50.20764877692416,0.0
300,0.6,100,100,156.87774913571027,42.44693489272421,0.0
300,0.65,100,100,156.6696653660769,40.58904409242503,0.0
300,0.7,100,100,156.75108944984643,41.31390785992154,0.016361125964707856
300,0.75,100,100,156.81441929277847,41.88148986654625,0.0
300,0.8,100,100,156.8126098686946,41.8653342943697,0.0
300,0.85,100,100,156.8180381409459,41.913801010899284,0.0
300,0.9,100,100,156.74385175351136,41.251422551662095,0.0
300,0.95,100,100,156.78365908335425,41.60470815909878,0.06544450385883142
300,1.0,100,100,156.92298473780454,42.85082419713709,0.0
350,0.6,100,100,156.85965489487276,42.28324219051248,0.0
350,0.65,100,100,156.77823081110301,41.55837842301592,0.0
350,0.7,100,100,156.78546850743814,41.623000711721964,0.0
350,0.75,100,100,156.82346641319722,41.96013074698212,0.0
350,0.8,100,100,156.86327374304014,42.31555333486546,0.0
350,0.85,100,100,156.72213866450616,41.0554187050973,0.03272225192941571
350,0.9,100,100,156.84337007811868,42.13997902137053,0.0
350,0.95,100,100,156.90669992105063,42.70542404754851,0.0
350,1.0,100,100,156.85603604670501,42.253068026605995,0.0
400,0.6,100,100,173.4119765873233,36.61477967355125,0.12164601011057821
400,0.65,100,100,173.23788462470662,35.36469377470577,0.12623266295081315
400,0.7,100,100,173.36449696115503,36.273847155684315,0.15435083905834024
400,0.75,100,100,173.33284387704293,36.04226386816369,0.26423108753527236
400,0.8,100,100,173.43684686769706,36.789068431110344,0.15435083905834024
400,0.85,100,100,173.2017096714355,35.10278819471676,0.1334117717442243
400,0.9,100,100,173.17910032564097,34.94473431896083,0.0444705905814081
400,0.95,100,100,173.38710630694942,36.44049091599214,0.0
400,1.0,100,100,173.2808423817159,35.6667141155524,0.1615299478517514
450,0.6,100,100,173.3351048116224,36.06064622110487,0.14258507742469415
450,0.65,100,100,173.5905904190992,38.419170822534234,0.10988024847693213
450,0.7,100,100,173.28762518545417,35.72400864551392,0.0444705905814081
450,0.75,100,100,173.3373657462018,36.07902857404604,0.0725887666889352
450,0.8,100,100,173.43006406395887,36.74251125683878,0.20340808247998324
450,0.85,100,100,173.29214705461305,35.75433093798225,0.09352783400305112
450,0.9,100,100,173.27632051255694,35.64283423649798,0.016352414473881006
450,0.95,100,100,173.28988612003363,35.74239099845506,0.0
450,1.0,100,100,173.38258443779057,36.40157873897183,0.21517384411362936
500,0.6,100,100,189.72711869387547,30.604878747333363,1.0918340699276163
500,0.65,100,100,189.87645202720867,31.497311487063048,1.3838802471129292
500,0.7,100,100,189.73797929993594,30.665783291968367,1.4895351781082982
500,0.75,100,100,189.7787065726632,30.92113379072137,1.1811423889576642
500,0.8,100,100,189.74069445145113,30.70365453147937,0.8466348904477975
500,0.85,100,100,189.76513081508773,30.83961141865326,1.250914513199889
500,0.9,100,100,189.78142172417847,30.92234152956682,1.6159223974499284
