K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,50,57.71012525252981,163.59392241746,0.0
50,0.65,100,50,57.593826262630884,159.77633477634237,0.0
50,0.7,100,50,57.73682424242886,164.47033358798848,0.0
50,0.75,100,50,57.71148282828734,163.638485697317,0.0
50,0.8,100,50,57.77890909091375,165.85179526356737,0.0
50,0.85,100,50,57.710577777782305,163.60877684407873,0.0
50,0.9,100,50,57.747684848489364,164.82683982684753,0.0
50,0.95,100,50,57.7626181818229,165.31703590527934,0.0
50,1.0,100,50,57.51372929293393,157.14710126475566,0.0
100,0.6,100,50,74.91524764833858,99.48951616850424,0.021093519911486815
100,0.65,100,50,74.75052845641936,96.63822258057607,0.0
100,0.7,100,50,74.77405976955065,97.04584649152606,0.0
100,0.75,100,50,74.84103350692442,98.20600685346027,0.0
100,0.8,100,50,74.69984562813642,95.76026338776106,0.0
100,0.85,100,50,74.7713446180355,96.99881296333942,0.0
100,0.9,100,50,74.48896886045968,92.10732603194131,0.0
100,0.95,100,50,74.92158300187386,99.60133485632713,0.0
100,1.0,100,50,75.07634663823761,102.28224596295851,0.0
150,0.6,100,50,74.66273855742945,95.11747183587872,0.0
150,0.65,100,50,74.70527593116688,95.85433044413438,0.0
150,0.7,100,50,74.83017290086376,98.01787274071451,0.0
150,0.75,100,50,74.93877896146986,99.89921386817477,0.0
150,0.8,100,50,74.8211223958133,97.86109431342597,0.0
150,0.85,100,50,74.91072239581334,99.41320074358045,0.0
150,0.9,100,50,74.88538098167187,98.97214735845277,0.021093519911486815
150,0.95,100,50,74.90167189076278,99.25642231629237,0.0
150,1.0,100,50,74.67088401197485,95.25857242043823,0.0
200,0.6,100,50,91.6194502279572,73.36636106716252,0.05611672278338946
200,0.65,100,50,91.47690477341166,71.68919786891514,0.03979909417261663
200,0.7,100,50,91.83123204613895,75.8581463902736,0.03979909417261663
200,0.75,100,50,91.9452684097752,77.19987694887189,0.02348146556184381
200,0.8,100,50,91.78235931886594,75.28523183643539,0.0
200,0.85,100,50,91.64795931886606,73.70179370681218,0.05611672278338946
200,0.9,100,50,91.87060174310857,76.32136289264663,0.05611672278338946
200,0.95,100,50,91.64931689462365,73.7198795180707,0.0
200,1.0,100,50,91.72398356129028,74.59839357429559,0.0
250,0.6,100,50,91.61266234916907,73.28438332454225,0.10506960861570791
250,0.65,100,50,91.96563204613905,77.43524603464265,0.07044439668553143
250,0.7,100,50,91.65610477341154,73.79763160385498,0.03979909417261663
250,0.75,100,50,91.68732901583577,74.16501020918544,0.02348146556184381
250,0.8,100,50,91.89232295522977,76.57904344651206,0.0
250,0.85,100,50,91.72398356129025,74.59839357429559,0.0
250,0.9,100,50,92.08238356129009,78.81314821575774,0.03979909417261663
250,0.95,100,50,91.43074719765404,71.14611645233973,0.05611672278338946
250,1.0,100,50,91.74706234916918,74.8699342825834,0.0
300,0.6,100,50,109.26437950220078,63.73262780863423,0.5167721493730896
300,0.65,100,50,109.14495751267188,62.67277098632409,0.4910333048676345
