N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,40,0.7762280169799879,1280,1649,140.0,60.078125000000014,48.98009317714179
9,10,41,40,0.757396449704142,1280,1690,140.0,63.28125,51.47847105312383
9,11,41,40,0.7394569612940497,1280,1731,140.0,66.484375,57.38265174897119
9,12,41,40,0.7223476297968398,1280,1772,140.0,69.6875,60.238905256266364
9,13,41,40,0.7060121345835632,1280,1813,140.0,72.890625,51.76150977366255
9,14,41,40,0.6903991370010788,1280,1854,140.0,76.09375,51.84802305462027
9,15,41,40,0.6754617414248021,1280,1895,140.0,79.296875,54.92804199401422
9,16,41,40,0.6611570247933884,1280,1936,140.0,82.5,49.23248690609802
9,17,41,40,0.6474456246838645,1280,1977,140.0,85.703125,51.62804257856342
9,18,41,40,0.6342913776015857,1280,2018,140.0,88.90625,57.00880331088665
9,19,41,40,0.6216610004856726,1280,2059,140.0,92.109375,53.8969702815189
10,10,41,40,0.7515151515151515,1240,1650,140.0,65.32258064515625,36.96387410545117
10,11,41,40,0.7332939089296274,1240,1691,140.0,68.62903225806174,49.0932774579728
10,12,41,40,0.7159353348729792,1240,1732,140.0,71.93548387096938,41.94900015688546
10,13,41,40,0.6993795826283136,1240,1773,140.0,75.24193548387491,48.64416265401928
10,14,41,40,0.6835722160970231,1240,1814,140.0,78.54838709678286,39.8435067521089
10,15,41,40,0.6684636118598383,1240,1855,140.0,81.8548387096823,44.45960501068028
10,16,41,40,0.6540084388185654,1240,1896,140.0,85.16129032258914,46.74909187453991
10,17,41,40,0.6401652039235932,1240,1937,140.0,88.46774193547179,52.108917731677586
10,18,41,40,0.6268958543983822,1240,1978,140.0,91.77419354837916,50.88592013323196
10,19,41,40,0.6141654284299158,1240,2019,140.0,95.08064516128486,49.24004079022
11,11,41,40,0.7268322228952151,1200,1651,140.0,70.91666666666997,42.08241364259882
11,12,41,40,0.7092198581560284,1200,1692,140.0,74.33333333332929,36.34742486594338
11,13,41,40,0.6924408540103866,1200,1733,140.0,77.75,39.007778401296925
11,14,41,40,0.6764374295377678,1200,1774,140.0,81.166666666672,39.624080309265494
11,15,41,40,0.6611570247933884,1200,1815,140.0,84.58333333332743,38.935029305399674
11,16,41,40,0.646551724137931,1200,1856,140.0,88.0,45.89200648459908
11,17,41,40,0.632577754348972,1200,1898,140.0,91.5,49.71944756204015
11,18,41,40,0.6191950464396285,1200,1938,140.0,94.83333333332597,44.54436338695598
11,19,41,40,0.6063668519454269,1200,1980,140.0,98.33333333332568,54.63087666791371
12,12,41,40,0.7021791767554479,1160,1652,140.0,76.89655172413325,35.376627062450815
12,13,41,40,0.6851742468989959,1160,1693,140.0,80.43103448276587,38.18701059122515
12,14,41,40,0.6689734717416379,1160,1734,140.0,83.96551724138732,40.61454261645833
12,15,41,40,0.6535211267605633,1160,1776,140.0,87.58620689656358,30.938245804146185
12,16,41,40,0.6387665198237885,1160,1816,140.0,91.03448275861237,42.80383657778294
12,17,41,40,0.624663435648896,1160,1857,140.0,94.56896551723162,43.668985512855244
12,18,41,40,0.6111696522655427,1160,1898,140.0,98.10344827587049,32.624940335668306
12,19,41,40,0.5982465188241362,1160,1939,140.0,101.63793103448792,40.012981023517426
13,13,41,40,0.677555958862674,1120,1653,140.0,83.30357142857648,26.510725642670085
13,14,41,40,0.6611570247933884,1120,1694,140.0,86.96428571427639,28.251396237507347
13,15,41,40,0.6455331412103746,1120,1735,140.0,90.625,27.208844396344396
13,16,41,40,0.6306306306306306,1120,1776,140.0,94.28571428572482,34.1764202875314
13,17,41,40,0.6164006604292791,1120,1817,140.0,97.94642857142303,32.83185692907915
13,18,41,40,0.6027987082884823,1120,1858,140.0,101.60714285714877,34.33738843461065
13,19,41,40,0.5897840968931016,1120,1899,140.0,105.26785714285086,30.348558334669445
14,14,41,40,0.652962515114873,1080,1654,140.0,90.18518518518,32.733750398359454
14,15,41,40,0.6371681415929203,1080,1695,140.0,93.98148148147226,25.776887531002757
