K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,75,82.52006464647003,157.3550632374234,0.0
50,0.65,100,75,82.69157171717703,162.98489092607514,0.0
50,0.7,100,75,82.65853737374272,161.89855291163255,0.018705574261129815
50,0.75,100,75,82.74813737374274,164.84169425346636,0.0
50,0.8,100,75,82.7612606060659,165.27247262542178,0.0
50,0.85,100,75,82.76940606061143,165.53985230456595,0.0
50,0.9,100,75,82.72867878788409,164.20098903759788,0.018705574261129815
50,0.95,100,75,82.66215757576295,162.01935319583137,0.0
50,1.0,100,75,82.62595555556094,160.83099906630096,0.0
100,0.6,100,75,99.8609446180352,98.5509193934947,0.0
100,0.65,100,75,99.91705774934832,99.52294564268267,0.0
100,0.7,100,75,99.7170415877323,96.05814239960915,0.0
100,0.75,100,75,99.72699714328778,96.23059866962667,0.0
100,0.8,100,75,99.87180522409578,98.73905350624088,0.0
100,0.85,100,75,99.90619714328771,99.33481152993643,0.0
100,0.9,100,75,99.86184966854027,98.56659723622367,0.0
100,0.95,100,75,99.8455587594494,98.28439606710474,0.0
100,1.0,100,75,99.95235471904535,100.13230772038672,0.021093519911486815
150,0.6,100,75,99.82926785035845,98.00219489798549,0.0
150,0.65,100,75,99.80573653722708,97.59457098703564,0.0
150,0.7,100,75,99.94149411298481,99.94624739636141,0.0
150,0.75,100,75,99.9632153251059,100.32044183313276,0.03741114852225963
150,0.8,100,75,99.73333249682314,96.34034356872803,0.0
150,0.85,100,75,99.93877896146968,99.89921386817481,0.0
150,0.9,100,75,99.86727997157048,98.66066429259646,0.0
150,0.95,100,75,99.80664158773222,97.60817504104375,0.03741114852225963
150,1.0,100,75,99.96774057763115,100.40090483549776,0.0
200,0.6,100,75,116.68461386432246,74.13306424350448,0.0
200,0.65,100,75,116.82715931886796,75.81234027017034,0.0
200,0.7,100,75,117.20320780371632,80.22840520330396,0.16835016835016833
200,0.75,100,75,116.69954719765573,74.30876705474945,0.05611672278338946
200,0.8,100,75,116.94662598553437,77.2116242748762,0.09591581695600608
200,0.85,100,75,116.97106234917091,77.50336362284044,0.03979909417261663
200,0.9,100,75,116.87603204614052,76.38314199559045,0.08875198000493509
200,0.95,100,75,116.78507447038307,75.31717780211622,0.0
200,1.0,100,75,116.9154017431105,76.84635849796368,0.05611672278338946
250,0.6,100,75,116.73484416735289,74.72617743701932,0.0
250,0.65,100,75,116.81358356129213,75.64838478492959,0.09591581695600608
250,0.7,100,75,116.47690477341322,71.68919786891513,0.05611672278338946
250,0.75,100,75,116.5094865915951,72.07466228550402,0.0
250,0.8,100,75,116.83801992492842,75.93801130447576,0.05611672278338946
250,0.85,100,75,116.78100174311008,75.26714602517694,0.05611672278338946
250,0.9,100,75,116.6384562885647,73.58998282692903,0.03979909417261663
250,0.95,100,75,116.84073507644383,75.96995727015663,0.03979909417261663
250,1.0,100,75,116.73891689462525,74.76987072870466,0.11223344556677892
300,0.6,100,75,134.36027897864108,64.59528407532929,0.348372267492438
300,0.65,100,75,134.2752360467039,63.83810916347978,0.31804432667980875
300,0.7,100,75,133.7740255754998,59.36942661192521,0.20571123011724146
300,0.75,100,75,133.73059939748916,58.98382986013536,0.18236669672857292
300,0.8,100,75,134.37656379539501,64.73854724447132,0.4301778973159772
300,0.85,100,75,134.00020358597087,61.388873133989485,0.233844385739483
300,0.9,100,75,134.34037531371962,64.41970976183433,0.3110609192558481
300,0.95,100,75,134.67692819330068,67.42037222577288,0.3765054231146795
300,1.0,100,75,134.3838014917301,64.80530651362407,0.4513276455142581
350,0.6,100,75,134.26437950220148,63.85840886669538,0.5494944013025053
350,0.65,100,75,134.2788548948714,63.86614634693951,0.4840498974436738
350,0.7,100,75,133.78307269591875,59.57384855042236,0.19872782269328074
350,0.75,100,75,134.1431480885887,62.667300316380775,0.13328331883444935
350,0.8,100,75,134.13591039225363,62.594130105888176,0.28532207475039306
350,0.85,100,75,133.95496798387668,61.11954233344393,0.13567762995123586
350,0.9,100,75,134.5376025388504,66.1828041095212,0.19413872638610663
350,0.95,100,75,133.97849049696558,61.186458346084855,0.3437831711852638
350,1.0,100,75,133.9875376173846,61.273647148307255,0.28292776363360655
400,0.6,100,75,150.7316954658285,53.271768403622794,1.4637405151010559
400,0.65,100,75,150.94874518545467,54.95272291159414,1.4852778414812895
400,0.7,100,75,150.90578742844522,54.448840283776654,2.2406796222991097
400,0.75,100,75,150.89448275554824,54.384845643864644,1.5343350849029325
400,0.8,100,75,150.7452610733052,53.31763838713011,1.5062169087954054
400,0.85,100,75,150.78595789573498,53.60557131731158,1.7796213020111478
400,0.9,100,75,150.92613583966028,54.60139663341937,1.7423298202231505
400,0.95,100,75,150.83117658732408,53.9259740110994,1.7750346491709126
400,1.0,100,75,150.98265920414627,55.030890861016914,1.2720981942547187
450,0.6,100,75,150.97813733498745,54.99627362627257,1.4453939037401162
450,0.65,100,75,151.197447989193,57.06068058064311,2.001974254918188
450,0.7,100,75,151.0753575219035,55.67075136129181,1.6416228774266886
450,0.75,100,75,151.37606182096889,57.81710581428797,2.5278439740355565
450,0.8,100,75,151.11831527891263,55.9792141155524,2.2335005135056987
