N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,75,0.7762280169799879,1280,1649,175.0,60.078125000000014,17.109608819678265
9,10,41,75,0.757396449704142,1280,1690,175.0,63.28125,19.214424335952113
9,11,41,75,0.7394569612940497,1280,1731,175.0,66.484375,15.79589295735129
9,12,41,75,0.7223476297968398,1280,1772,175.0,69.6875,18.79495183314628
9,13,41,75,0.7060121345835632,1280,1813,175.0,72.890625,15.892299733445567
9,14,41,75,0.6903991370010788,1280,1854,175.0,76.09375,18.521382809577254
9,15,41,75,0.6754617414248021,1280,1895,175.0,79.296875,15.583789281705949
9,16,41,75,0.6611570247933884,1280,1936,175.0,82.5,22.65876356154134
9,17,41,75,0.6474456246838645,1280,1977,175.0,85.703125,18.953510802469136
9,18,41,75,0.6342913776015857,1280,2018,175.0,88.90625,16.859830948372615
9,19,41,75,0.6216610004856726,1280,2059,175.0,92.109375,22.773393658810328
10,10,41,75,0.7515151515151515,1240,1650,175.0,65.32258064515625,17.105040850560563
10,11,41,75,0.7332939089296274,1240,1691,175.0,68.62903225806174,12.387178233952428
10,12,41,75,0.7159353348729792,1240,1732,175.0,71.93548387096938,17.257521451069838
10,13,41,75,0.6993795826283136,1240,1773,175.0,75.24193548387491,15.070311840025102
10,14,41,75,0.6835722160970231,1240,1814,175.0,78.54838709678286,11.976937837152892
10,15,41,75,0.6684636118598383,1240,1855,175.0,81.8548387096823,16.799717606169217
10,16,41,75,0.6540084388185654,1240,1896,175.0,85.16129032258914,15.550969672833473
10,17,41,75,0.6401652039235932,1240,1937,175.0,88.46774193547179,12.445723664361658
10,18,41,75,0.6268958543983822,1240,1978,175.0,91.77419354837916,16.30293375813089
10,19,41,75,0.6141654284299158,1240,2019,175.0,95.08064516128486,13.137769571461327
11,11,41,75,0.7268322228952151,1200,1651,175.0,70.91666666666997,10.533015338570895
11,12,41,75,0.7092198581560284,1200,1692,175.0,74.33333333332929,14.243421873051505
11,13,41,75,0.6924408540103866,1200,1733,175.0,77.75,10.204685746352412
11,14,41,75,0.6764374295377678,1200,1774,175.0,81.166666666672,15.568836513280957
11,15,41,75,0.6611570247933884,1200,1815,175.0,84.58333333332743,12.395794363386955
11,16,41,75,0.646551724137931,1200,1856,175.0,88.0,12.519204389574758
11,17,41,75,0.632577754348972,1200,1898,175.0,91.5,16.613948123207383
11,18,41,75,0.6191950464396285,1200,1938,175.0,94.83333333332597,10.443290934031674
11,19,41,75,0.6063668519454269,1200,1980,175.0,98.33333333332568,14.681693477989773
12,12,41,75,0.7021791767554479,1160,1652,175.0,76.89655172413325,7.704503528258318
12,13,41,75,0.6851742468989959,1160,1693,175.0,80.43103448276587,7.324328856895907
12,14,41,75,0.6689734717416379,1160,1734,175.0,83.96551724138732,10.499858095643537
12,15,41,75,0.6535211267605633,1160,1776,175.0,87.58620689656358,10.668756530825496
12,16,41,75,0.6387665198237885,1160,1816,175.0,91.03448275861237,13.080292064966395
12,17,41,75,0.624663435648896,1160,1857,175.0,94.56896551723162,7.393329850226402
12,18,41,75,0.6111696522655427,1160,1898,175.0,98.10344827587049,9.915566907904072
12,19,41,75,0.5982465188241362,1160,1939,175.0,101.63793103448792,12.22268986157875
13,13,41,75,0.677555958862674,1120,1653,175.0,83.30357142857648,5.837809310031532
13,14,41,75,0.6611570247933884,1120,1694,175.0,86.96428571427639,7.294105071882849
13,15,41,75,0.6455331412103746,1120,1735,175.0,90.625,7.027867965367965
13,16,41,75,0.6306306306306306,1120,1776,175.0,94.28571428572482,8.51016781572337
13,17,41,75,0.6164006604292791,1120,1817,175.0,97.94642857142303,8.952955480733259
13,18,41,75,0.6027987082884823,1120,1858,175.0,101.60714285714877,8.114611725722837
13,19,41,75,0.5897840968931016,1120,1899,175.0,105.26785714285086,9.505003741114852
14,14,41,75,0.652962515114873,1080,1654,175.0,90.18518518518,4.986836818112538
14,15,41,75,0.6371681415929203,1080,1695,175.0,93.98148148147226,4.507090798243062
14,16,41,75,0.6221198156682027,1080,1736,175.0,97.77777777776627,5.8693242438098405
14,17,41,75,0.6077658975801914,1080,1777,175.0,101.5740740740861,4.884562358842194
14,18,41,75,0.5940594059405941,1080,1818,175.0,105.37037037037719,7.933519003477851
14,19,41,75,0.5809575040344271,1080,1859,175.0,109.1666666666697,7.598464064513447
15,15,41,75,0.6283987915407855,1040,1655,175.0,97.59615384614143,5.14969855247633
15,16,41,75,0.6132075471698114,1040,1696,175.0,101.53846153845433,1.2629140406918185
15,17,41,75,0.5987334484743811,1040,1737,175.0,105.48076923076168,5.820437278770612
15,18,41,75,0.5849268841394826,1040,1778,175.0,109.42307692307274,5.640414112636335
15,19,41,75,0.5717427157779,1040,1819,175.0,113.36538461537808,6.047889867334312
16,16,41,75,0.6038647342995169,1000,1656,175.0,105.59999999998944,2.8724279835390947
16,17,41,75,0.5892751915144373,1000,1697,175.0,109.7000000000024,2.885297418630752
16,18,41,75,0.5753739930955121,1000,1738,175.0,113.79999999999936,3.8856341189674524
16,19,41,75,0.5621135469364812,1000,1779,175.0,117.9000000000119,5.499682005237561
17,17,41,75,0.5793602896801447,960,1658,175.0,114.375,1.2826957850105998
17,18,41,75,0.5653710247349824,960,1698,175.0,118.54166666666639,4.744123332086295
17,19,41,75,0.5520414031052329,960,1739,175.0,122.81249999999997,2.608433875794987
18,18,41,75,0.5548854041013269,920,1658,175.0,123.69565217391317,0.7845361830869078
18,19,41,75,0.5414949970570924,920,1700,175.0,128.26086956522045,2.3280307096732216
19,19,41,75,0.5304400241109102,880,1659,175.0,133.97727272728525,1.4621382171887223
