N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,100,0.7762280169799879,1280,1649,103.27840000000442,60.078125000000014,2.163723461466517
9,10,41,100,0.757396449704142,1280,1690,103.34399999999627,63.28125,1.5654227459783017
9,11,41,100,0.7394569612940497,1280,1731,103.40960000001017,66.484375,3.7884633370744485
9,12,41,100,0.7223476297968398,1280,1772,103.47519999998966,69.6875,5.997474747474747
9,13,41,100,0.7060121345835632,1280,1813,103.54080000000346,72.890625,5.055035306771418
9,14,41,100,0.6903991370010788,1280,1854,103.60639999999556,76.09375,4.660464599700711
9,15,41,100,0.6754617414248021,1280,1895,103.67200000000933,79.296875,5.717621820052376
9,16,41,100,0.6611570247933884,1280,1936,103.73759999999398,82.5,6.541923868312757
9,17,41,100,0.6474456246838645,1280,1977,103.80320000000766,85.703125,6.477974186307519
9,18,41,100,0.6342913776015857,1280,2018,103.86880000000002,88.90625,4.308156799476244
9,19,41,100,0.6216610004856726,1280,2059,103.93440000001371,92.109375,5.922827815188926
10,10,41,100,0.7515151515151515,1240,1650,103.28000000001416,65.32258064515625,3.4318694712959945
10,11,41,100,0.7332939089296274,1240,1691,103.34560000000053,68.62903225806174,0.9733234374811436
10,12,41,100,0.7159353348729792,1240,1732,103.4111999999868,71.93548387096938,2.2079818495589105
10,13,41,100,0.6993795826283136,1240,1773,103.4768000000003,75.24193548387491,1.542334938392286
10,14,41,100,0.6835722160970231,1240,1814,103.54239999999267,78.54838709678286,2.0477776570966535
10,15,41,100,0.6684636118598383,1240,1855,103.60800000000486,81.8548387096823,2.832008857994521
10,16,41,100,0.6540084388185654,1240,1896,103.67359999999108,85.16129032258914,3.6945319382595367
10,17,41,100,0.6401652039235932,1240,1937,103.73920000000491,88.46774193547179,3.0861331354162895
10,18,41,100,0.6268958543983822,1240,1978,103.80479999999721,91.77419354837916,3.854313746786865
10,19,41,100,0.6141654284299158,1240,2019,103.8704000000109,95.08064516128486,5.950378938730194
11,11,41,100,0.7268322228952151,1200,1651,103.2815999999908,70.91666666666997,2.3628257887517146
11,12,41,100,0.7092198581560284,1200,1692,103.34720000000436,74.33333333332929,2.664484349669535
11,13,41,100,0.6924408540103866,1200,1733,103.41279999999662,77.75,1.3574947000872928
11,14,41,100,0.6764374295377678,1200,1774,103.47840000001058,81.166666666672,2.2730390322982914
11,15,41,100,0.6611570247933884,1200,1815,103.54399999999524,84.58333333332743,3.859583489213119
11,16,41,100,0.646551724137931,1200,1856,103.609600000009,88.0,3.3706821299413896
11,17,41,100,0.632577754348972,1200,1898,103.67680000000529,91.5,2.792025190173338
11,18,41,100,0.6191950464396285,1200,1938,103.74080000001493,94.83333333332597,1.6891133557800226
11,19,41,100,0.6063668519454269,1200,1980,103.8080000000049,98.33333333332568,2.6630502556428484
12,12,41,100,0.7021791767554479,1160,1652,103.28320000000167,76.89655172413325,1.0939535843750403
12,13,41,100,0.6851742468989959,1160,1693,103.34879999999384,80.43103448276587,1.8983577795838331
12,14,41,100,0.6689734717416379,1160,1734,103.4144000000061,83.96551724138732,1.1883199814234298
