N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,40,0.7762280169799879,1280,1649,140.0,60.078125000000014,13.839538323045266
9,10,41,40,0.757396449704142,1280,1690,140.0,63.28125,17.196852787130563
9,11,41,40,0.7394569612940497,1280,1731,140.0,66.484375,20.996495627572017
9,12,41,40,0.7223476297968398,1280,1772,140.0,69.6875,17.278748129442572
9,13,41,40,0.7060121345835632,1280,1813,140.0,72.890625,17.009080971754585
9,14,41,40,0.6903991370010788,1280,1854,140.0,76.09375,15.171039094650205
9,15,41,40,0.6754617414248021,1280,1895,140.0,79.296875,22.423307145529368
9,16,41,40,0.6611570247933884,1280,1936,140.0,82.5,15.871504395809952
9,17,41,40,0.6474456246838645,1280,1977,140.0,85.703125,18.376473063973066
9,18,41,40,0.6342913776015857,1280,2018,140.0,88.90625,19.201418116348673
9,19,41,40,0.6216610004856726,1280,2059,140.0,92.109375,24.08282769827909
10,10,41,40,0.7515151515151515,1240,1650,140.0,65.32258064515625,14.103097884459892
10,11,41,40,0.7332939089296274,1240,1691,140.0,68.62903225806174,15.094960959656301
10,12,41,40,0.7159353348729792,1240,1732,140.0,71.93548387096938,17.643640708156838
10,13,41,40,0.6993795826283136,1240,1773,140.0,75.24193548387491,14.719069427850789
10,14,41,40,0.6835722160970231,1240,1814,140.0,78.54838709678286,12.671095663927204
10,15,41,40,0.6684636118598383,1240,1855,140.0,81.8548387096823,14.897933939152578
10,16,41,40,0.6540084388185654,1240,1896,140.0,85.16129032258914,12.473480322942688
10,17,41,40,0.6401652039235932,1240,1937,140.0,88.46774193547179,24.559830684382653
10,18,41,40,0.6268958543983822,1240,1978,140.0,91.77419354837916,13.742925069089942
10,19,41,40,0.6141654284299158,1240,2019,140.0,95.08064516128486,17.818930041152264
11,11,41,40,0.7268322228952151,1200,1651,140.0,70.91666666666997,9.458193041526375
11,12,41,40,0.7092198581560284,1200,1692,140.0,74.33333333332929,9.751589973812196
11,13,41,40,0.6924408540103866,1200,1733,140.0,77.75,12.39950430228208
11,14,41,40,0.6764374295377678,1200,1774,140.0,81.166666666672,11.26409153261005
11,15,41,40,0.6611570247933884,1200,1815,140.0,84.58333333332743,12.157298291557552
11,16,41,40,0.646551724137931,1200,1856,140.0,88.0,9.200274348422496
11,17,41,40,0.632577754348972,1200,1898,140.0,91.5,11.204981917944881
11,18,41,40,0.6191950464396285,1200,1938,140.0,94.83333333332597,14.060574884648958
11,19,41,40,0.6063668519454269,1200,1980,140.0,98.33333333332568,10.022758448684375
12,12,41,40,0.7021791767554479,1160,1652,140.0,76.89655172413325,7.567307816349962
12,13,41,40,0.6851742468989959,1160,1693,140.0,80.43103448276587,8.142375220919282
12,14,41,40,0.6689734717416379,1160,1734,140.0,83.96551724138732,6.892681605325284
12,15,41,40,0.6535211267605633,1160,1776,140.0,87.58620689656358,8.937394378007404
12,16,41,40,0.6387665198237885,1160,1816,140.0,91.03448275861237,10.21240502083414
12,17,41,40,0.624663435648896,1160,1857,140.0,94.56896551723162,7.8695479701226825
12,18,41,40,0.6111696522655427,1160,1898,140.0,98.10344827587049,9.647657933098547
