N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,100,0.7762280169799879,1280,1649,200.0,60.078125000000014,47.87463757949869
9,10,41,100,0.757396449704142,1280,1690,200.0,63.28125,50.51338033108866
9,11,41,100,0.7394569612940497,1280,1731,200.0,66.484375,50.24621212121212
9,12,41,100,0.7223476297968398,1280,1772,200.0,69.6875,52.72616208380098
9,13,41,100,0.7060121345835632,1280,1813,200.0,72.890625,51.29185372240927
9,14,41,100,0.6903991370010788,1280,1854,200.0,76.09375,53.53208005985783
9,15,41,100,0.6754617414248021,1280,1895,200.0,79.296875,53.2607615506921
9,16,41,100,0.6611570247933884,1280,1936,200.0,82.5,63.63952020202021
9,17,41,100,0.6474456246838645,1280,1977,200.0,85.703125,53.659482557051994
9,18,41,100,0.6342913776015857,1280,2018,200.0,88.90625,61.89475776281333
9,19,41,100,0.6216610004856726,1280,2059,200.0,92.109375,54.298760171156005
10,10,41,100,0.7515151515151515,1240,1650,200.0,65.32258064515625,47.02943412620832
10,11,41,100,0.7332939089296274,1240,1691,200.0,68.62903225806174,46.60000543065059
10,12,41,100,0.7159353348729792,1240,1732,200.0,71.93548387096938,45.329881853179344
10,13,41,100,0.6993795826283136,1240,1773,200.0,75.24193548387491,40.24336857222161
10,14,41,100,0.6835722160970231,1240,1814,200.0,78.54838709678286,46.373622726669325
10,15,41,100,0.6684636118598383,1240,1855,200.0,81.8548387096823,55.62132676828018
10,16,41,100,0.6540084388185654,1240,1896,200.0,85.16129032258914,47.086093914050906
10,17,41,100,0.6401652039235932,1240,1937,200.0,88.46774193547179,52.57839747535088
10,18,41,100,0.6268958543983822,1240,1978,200.0,91.77419354837916,44.784071298408215
10,19,41,100,0.6141654284299158,1240,2019,200.0,95.08064516128486,47.805941735153205
11,11,41,100,0.7268322228952151,1200,1651,200.0,70.91666666666997,39.78321798229206
11,12,41,100,0.7092198581560284,1200,1692,200.0,74.33333333332929,34.82348173088914
11,13,41,100,0.6924408540103866,1200,1733,200.0,77.75,36.48904165107869
11,14,41,100,0.6764374295377678,1200,1774,200.0,81.166666666672,39.03501059982541
11,15,41,100,0.6611570247933884,1200,1815,200.0,84.58333333332743,35.53716174086545
11,16,41,100,0.646551724137931,1200,1856,200.0,88.0,39.38134430727023
11,17,41,100,0.632577754348972,1200,1898,200.0,91.5,43.97571392941763
11,18,41,100,0.6191950464396285,1200,1938,200.0,94.83333333332597,45.193415637860085
11,19,41,100,0.6063668519454269,1200,1980,200.0,98.33333333332568,46.650455168973686
12,12,41,100,0.7021791767554479,1160,1652,200.0,76.89655172413325,34.06110917605171
12,13,41,100,0.6851742468989959,1160,1693,200.0,80.43103448276587,33.14371363700865
12,14,41,100,0.6689734717416379,1160,1734,200.0,83.96551724138732,34.74834552420759
12,15,41,100,0.6535211267605633,1160,1776,200.0,87.58620689656358,31.042158494265777
12,16,41,100,0.6387665198237885,1160,1816,200.0,91.03448275861237,34.876285201955696
12,17,41,100,0.624663435648896,1160,1857,200.0,94.56896551723162,38.488250964304605
12,18,41,100,0.6111696522655427,1160,1898,200.0,98.10344827587049,42.89436510700879
12,19,41,100,0.5982465188241362,1160,1939,200.0,101.63793103448792,46.441232245829944
13,13,41,100,0.677555958862674,1120,1653,200.0,83.30357142857648,32.27205921650366
13,14,41,100,0.6611570247933884,1120,1694,200.0,86.96428571427639,28.775085511196625
13,15,41,100,0.6455331412103746,1120,1735,200.0,90.625,30.841817647373205
13,16,41,100,0.6306306306306306,1120,1776,200.0,94.28571428572482,27.440476190476193
13,17,41,100,0.6164006604292791,1120,1817,200.0,97.94642857142303,33.22692867831757
13,18,41,100,0.6027987082884823,1120,1858,200.0,101.60714285714877,36.30681818181819
13,19,41,100,0.5897840968931016,1120,1899,200.0,105.26785714285086,35.82860683555128
14,14,41,100,0.652962515114873,1080,1654,200.0,90.18518518518,24.307547352814844
14,15,41,100,0.6371681415929203,1080,1695,200.0,93.98148148147226,18.998801457649193
14,16,41,100,0.6221198156682027,1080,1736,200.0,97.77777777776627,24.850978925053
14,17,41,100,0.6077658975801914,1080,1777,200.0,101.5740740740861,26.20540106136814
14,18,41,100,0.5940594059405941,1080,1818,200.0,105.37037037037719,29.1958335065331
14,19,41,100,0.5809575040344271,1080,1859,200.0,109.1666666666697,35.42730113203365
15,15,41,100,0.6283987915407855,1040,1655,200.0,97.59615384614143,24.356726092837203
15,16,41,100,0.6132075471698114,1040,1696,200.0,101.53846153845433,26.277374888485998
15,17,41,100,0.5987334484743811,1040,1737,200.0,105.48076923076168,22.95058850614406
15,18,41,100,0.5849268841394826,1040,1778,200.0,109.42307692307274,24.966545799879132
15,19,41,100,0.5717427157779,1040,1819,200.0,113.36538461537808,22.293807016029238
16,16,41,100,0.6038647342995169,1000,1656,200.0,105.59999999998944,11.825439580995138
16,17,41,100,0.5892751915144373,1000,1697,200.0,109.7000000000024,23.322484100261878
16,18,41,100,0.5753739930955121,1000,1738,200.0,113.79999999999936,19.724242424242426
16,19,41,100,0.5621135469364812,1000,1779,200.0,117.9000000000119,23.003591470258137
17,17,41,100,0.5793602896801447,960,1658,200.0,114.375,16.225020264372116
17,18,41,100,0.5653710247349824,960,1698,200.0,118.54166666666639,13.45234754956977
17,19,41,100,0.5520414031052329,960,1739,200.0,122.81249999999997,16.646499719416386
18,18,41,100,0.5548854041013269,920,1658,200.0,123.69565217391317,13.527545991314108
18,19,41,100,0.5414949970570924,920,1700,200.0,128.26086956522045,13.187429854096521
19,19,41,100,0.5304400241109102,880,1659,200.0,133.97727272728525,13.13356630275822
