N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,75,0.7762280169799879,1280,1649,78.27840000000646,60.078125000000014,15.140584081556305
9,10,41,75,0.757396449704142,1280,1690,78.34399999999667,63.28125,20.208011831275723
9,11,41,75,0.7394569612940497,1280,1731,78.4096000000091,66.484375,15.42550797325103
9,12,41,75,0.7223476297968398,1280,1772,78.47519999999075,69.6875,17.272434998129444
9,13,41,75,0.7060121345835632,1280,1813,78.54080000000319,72.890625,14.100627221286944
9,14,41,75,0.6903991370010788,1280,1854,78.60639999999334,76.09375,21.007996632996633
9,15,41,75,0.6754617414248021,1280,1895,78.67200000000581,79.296875,17.05056935091657
9,16,41,75,0.6611570247933884,1280,1936,78.73759999999425,82.5,17.995463898241677
9,17,41,75,0.6474456246838645,1280,1977,78.80320000000674,85.703125,15.289103418443698
9,18,41,75,0.6342913776015857,1280,2018,78.86879999999684,88.90625,21.454387626262626
9,19,41,75,0.6216610004856726,1280,2059,78.93440000000938,92.109375,22.68631044238683
10,10,41,75,0.7515151515151515,1240,1650,78.28000000000976,65.32258064515625,12.523683670637077
10,11,41,75,0.7332939089296274,1240,1691,78.34560000000053,68.62903225806174,14.713382329869784
10,12,41,75,0.7159353348729792,1240,1732,78.41119999999115,71.93548387096938,10.437951799958968
10,13,41,75,0.6993795826283136,1240,1773,78.47680000000314,75.24193548387491,11.627354790437227
10,14,41,75,0.6835722160970231,1240,1814,78.54239999999373,78.54838709678286,15.621447449404439
10,15,41,75,0.6684636118598383,1240,1855,78.60800000000404,81.8548387096823,13.606117929594634
10,16,41,75,0.6540084388185654,1240,1896,78.6735999999946,85.16129032258914,11.210129973570835
10,17,41,75,0.6401652039235932,1240,1937,78.73920000000722,88.46774193547179,15.202005116879668
10,18,41,75,0.6268958543983822,1240,1978,78.80479999999731,91.77419354837916,17.570507946852032
10,19,41,75,0.6141654284299158,1240,2019,78.87040000000982,95.08064516128486,17.400966052399745
11,11,41,75,0.7268322228952151,1200,1651,78.28159999999187,70.91666666666997,13.8269890260631
11,12,41,75,0.7092198581560284,1200,1692,78.34720000000384,74.33333333332929,9.432846988402543
11,13,41,75,0.6924408540103866,1200,1733,78.41279999999445,77.75,10.83939705698965
11,14,41,75,0.6764374295377678,1200,1774,78.47840000000701,81.166666666672,10.187741613667539
11,15,41,75,0.6611570247933884,1200,1815,78.54399999999548,84.58333333332743,10.35610736999626
11,16,41,75,0.646551724137931,1200,1856,78.60960000000794,88.0,8.410337947374986
11,17,41,75,0.632577754348972,1200,1898,78.67680000000199,91.5,13.414203766055618
11,18,41,75,0.6191950464396285,1200,1938,78.74080000001057,94.83333333332597,12.27500311759571
11,19,41,75,0.6063668519454269,1200,1980,78.80800000000464,98.33333333332568,10.110986407282702
12,12,41,75,0.7021791767554479,1160,1652,78.28320000000438,76.89655172413325,8.075647922391218
12,13,41,75,0.6851742468989959,1160,1693,78.348799999995,80.43103448276587,10.476056864945754
12,14,41,75,0.6689734717416379,1160,1734,78.41440000000527,83.96551724138732,7.2633744855967075
