K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,100,106.1507232323293,112.40556828792674,0.0
50,0.65,100,100,106.15751111111719,112.62838468721385,0.0
50,0.7,100,100,106.16067878788485,112.73236567354769,0.0
50,0.75,100,100,106.12990707071317,111.72226466344648,0.0
50,0.8,100,100,106.15298585859198,112.4798404210222,0.0
50,0.85,100,100,106.14167272727884,112.10847975554397,0.0
50,0.9,100,100,106.13035959596566,111.73711909006573,0.0
50,0.95,100,100,106.17063434344043,113.05916305916858,0.0
50,1.0,100,100,106.13578989899598,111.9153722094953,0.0
100,0.6,100,100,122.88974461803443,64.40457793007798,0.0
100,0.65,100,100,122.9241365372264,65.0003359537739,0.0
100,0.7,100,100,122.90241532510517,64.62406772828169,0.0
100,0.75,100,100,122.89336482005469,64.4672893009932,0.0
100,0.8,100,100,122.85625774934755,63.82449774911072,0.0
100,0.85,100,100,122.86168805237787,63.91856480548385,0.0
100,0.9,100,100,122.87254865843848,64.10669891822992,0.0
100,0.95,100,100,122.91146583015568,64.7808461555701,0.0
100,1.0,100,100,122.89517492106472,64.49864498645088,0.0
150,0.6,100,100,122.83725168874146,63.495263051805054,0.0
150,0.65,100,100,122.89064966853948,64.42025577280674,0.0
150,0.7,100,100,122.88250421399404,64.27915518824712,0.0
150,0.75,100,100,122.8734537089435,64.12237676095872,0.0
150,0.8,100,100,122.88883956752939,64.38890008734909,0.0
150,0.85,100,100,122.90784562813545,64.71813478465477,0.0
150,0.9,100,100,122.88974461803448,64.40457793007796,0.0
150,0.95,100,100,122.917801183691,64.89059105467206,0.0
150,1.0,100,100,122.91146583015563,64.7808461555701,0.0
200,0.6,100,100,139.40660174311293,47.332511865642644,0.0
200,0.65,100,100,139.3631593188706,46.82137641474813,0.0
200,0.7,100,100,139.37130477341603,46.91721431179086,0.0
200,0.75,100,100,139.40252901584032,47.28459291712128,0.0
200,0.8,100,100,139.39438356129475,47.18875502007856,0.0
200,0.85,100,100,139.39438356129483,47.188755020078545,0.0
200,0.9,100,100,139.40660174311296,47.33251186564261,0.0
200,0.95,100,100,139.38488053099178,47.07694414019538,0.0
200,1.0,100,100,139.39166840977964,47.15680905439765,0.0
250,0.6,100,100,139.36451689462814,46.837349397588625,0.0
250,0.65,100,100,139.43239568250684,47.635998539611265,0.0
250,0.7,100,100,139.35908659159782,46.773457466226795,0.0
250,0.75,100,100,139.4093168946281,47.36445783132355,0.0
250,0.8,100,100,139.36044416735547,46.78943044906723,0.0
250,0.85,100,100,139.38080780371902,47.029025191674016,0.0
250,0.9,100,100,139.38623810674935,47.09291712303585,0.0
250,0.95,100,100,139.39981386432513,47.25264695144036,0.0
250,1.0,100,100,139.38488053099178,47.07694414019538,0.0
300,0.6,100,100,156.42720253885193,38.42419742077198,0.0
300,0.65,100,100,156.42358369068444,38.39188627641897,0.0
300,0.7,100,100,156.41091772209805,38.27666029073669,0.016361125964707856
300,0.75,100,100,156.38739520900916,38.06877483288862,0.0
300,0.8,100,100,156.4272025388521,38.42419742077195,0.0
300,0.85,100,100,156.47243814094625,38.82808672518483,0.0
300,0.9,100,100,156.43624965927083,38.50497528165452,0.0
300,0.95,100,100,156.4109177220981,38.278797271183315,0.0
300,1.0,100,100,156.44348735560584,38.569597570360585,0.0
350,0.6,100,100,156.4561533241923,38.68268657559621,0.0
350,0.65,100,100,156.37291981633896,37.93953025547651,0.0
350,0.7,100,100,156.4652004446111,38.76346443647879,0.0
350,0.75,100,100,156.38196693675786,38.02030811635908,0.0
350,0.8,100,100,156.4018706016792,38.198019410300745,0.0
350,0.85,100,100,156.40006117759543,38.18186383812424,0.0
350,0.9,100,100,156.37472924042274,37.95568582765302,0.0
350,0.95,100,100,156.36568212000384,37.87490796677044,0.0
350,1.0,100,100,156.40548944984673,38.23033055465379,0.0
400,0.6,100,100,172.9236147181643,33.11234014633853,0.0
400,0.65,100,100,172.91683191442598,33.063635500928974,0.0
400,0.7,100,100,172.91004911068768,33.01278338438141,0.0444705905814081
400,0.75,100,100,172.9100491106877,33.01493085551942,0.0
400,0.8,100,100,172.91909284900547,33.07987038273217,0.0
400,0.85,100,100,172.91909284900544,33.07987038273213,0.0
400,0.9,100,100,172.8693522882578,32.722702983062014,0.0
400,0.95,100,100,172.93265845648207,33.175132202413295,0.028118176107527097
400,1.0,100,100,172.86709135367832,32.70646810125881,0.0
450,0.6,100,100,172.89874443779055,32.93375644650348,0.0
450,0.65,100,100,172.93944126022043,33.22598431896087,0.0
450,0.7,100,100,172.91909284900547,33.07987038273216,0.0
450,0.75,100,100,172.90778817610823,32.99869597371622,0.0
450,0.8,100,100,172.8648304190989,32.69023321945563,0.0
450,0.85,100,100,172.95978967143543,33.36995078405158,0.016352414473881006
450,0.9,100,100,172.86256948451953,32.673998337652456,0.0
450,0.95,100,100,172.87839602657553,32.78764251027476,0.0
450,1.0,100,100,172.92361471816434,33.11234014633856,0.0
500,0.6,100,100,189.49904596660286,29.27412307376446,0.3323146603193969
500,0.65,100,100,189.41759142114836,28.793615547394783,0.1241943811511603
500,0.7,100,100,189.36057323933022,28.455534937728213,0.06319360967081512
500,0.75,100,100,189.4556035423606,29.01109480663679,0.25716011506420033
500,0.8,100,100,189.39315505751196,28.63824857163325,0.2059274409777666
500,0.85,100,100,189.44474293629997,28.943720232472575,0.35304694866565794
500,0.9,100,100,189.3822944514515,28.581657380017713,0.09588683360145764
