K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,100,107.63772121212718,161.21721415839824,0.0
50,0.65,100,100,107.65717979798582,161.85595450302105,0.0
50,0.7,100,100,107.61645252525861,160.51905610729932,0.0
50,0.75,100,100,107.69881212121801,163.22256175198137,0.0
50,0.8,100,100,107.79338989899577,166.32713691538035,0.0
50,0.85,100,100,107.7526626262685,164.99023851965828,0.0
50,0.9,100,100,107.7707636363695,165.58441558442377,0.0
50,0.95,100,100,107.75899797980384,165.19820049232604,0.0
50,1.0,100,100,107.60830707071305,160.25167642815438,0.0
100,0.6,100,100,124.56499310288356,93.42011724372249,0.05850466843374645
100,0.65,100,100,124.67902946652003,95.3975992162769,0.021093519911486815
100,0.7,100,100,124.84284360793427,98.23736253891792,0.0
100,0.75,100,100,125.09897290086359,102.67419203117944,0.0
100,0.8,100,100,124.67269411298466,95.28992810589627,0.0
100,0.85,100,100,124.83560320389381,98.11193979708739,0.0
100,0.9,100,100,124.96321532510584,100.32251562185338,0.0
100,0.95,100,100,124.88357088066131,98.94286546171604,0.0
100,1.0,100,100,124.89533653722722,99.14667741719072,0.0
150,0.6,100,100,124.72880724429777,96.25988056636325,0.03741114852225963
150,0.65,100,100,124.73333249682294,96.34034356872849,0.0
150,0.7,100,100,124.89986178975242,99.22506663083479,0.0
150,0.75,100,100,124.52336077965121,92.70308405563718,0.0
150,0.8,100,100,124.6663587594493,95.18018320679397,0.0
150,0.85,100,100,124.52788603217655,92.78147326928111,0.0
150,0.9,100,100,124.86818502207564,98.67426834660476,0.03741114852225963
150,0.95,100,100,124.78763552712608,97.28101413245899,0.0
150,1.0,100,100,124.97588603217672,100.54200542005732,0.0
200,0.6,100,100,141.75792295523266,74.99560531688904,0.03979909417261663
200,0.65,100,100,141.6859714400809,74.1469243979269,0.11223344556677892
200,0.7,100,100,141.60723204614197,73.22471705001651,0.0
200,0.75,100,100,141.74434719765713,74.8379883169026,0.0
200,0.8,100,100,141.68461386432386,74.13517707192251,0.0
200,0.85,100,100,141.9181168946262,76.88253012048065,0.0
200,0.9,100,100,141.74163204614163,74.80181669438551,0.09591581695600608
200,0.95,100,100,141.64117144008085,73.62404162102807,0.0
200,1.0,100,100,142.09188659159616,78.924959095641,0.03979909417261663
250,0.6,100,100,141.87874719765685,76.41720078968957,0.03979909417261663
250,0.65,100,100,141.61673507644474,73.3365279298998,0.0
250,0.7,100,100,142.21135325826327,80.32635592876484,0.13571491112862272
250,0.75,100,100,141.7552078037176,74.96154652278996,0.09591581695600608
250,0.8,100,100,141.50677144008142,72.04271631982309,0.0
250,0.85,100,100,141.88417750068717,76.47475423579715,0.17551400530123934
250,0.9,100,100,141.92626234917188,76.97836801752355,0.0
250,0.95,100,100,141.52170477341443,72.21841913106809,0.0
250,1.0,100,100,141.92354719765686,76.9400835665883,0.07959818834523326
300,0.6,100,100,159.11419730324877,62.58466086596857,0.29230548217435376
300,0.65,100,100,159.25533238178264,63.67131229579076,0.4583110529382188
300,0.7,100,100,159.25352295769872,63.644242297361686,0.3016832007151009
300,0.75,100,100,159.0888653660759,62.18049617063875,0.233844385739483
300,0.8,100,100,159.26437950220148,63.74972365220728,0.10056106690503365
300,0.85,100,100,159.26257007811768,63.738071564943525,0.5073944308323424
300,0.9,100,100,159.41998997340568,65.1369658789408,0.2011221338100673
300,0.95,100,100,159.0979124864948,62.31989059965847,0.3086666081390616
300,1.0,100,100,159.24085698911244,63.53542725301939,0.32502773410376945
350,0.6,100,100,159.01106013047396,61.481532606155305,0.2571889191281515
350,0.65,100,100,159.16305175351064,62.836463688535915,0.42558880100880303
350,0.7,100,100,158.9965847378037,61.35442500918989,0.22686097831552235
350,0.75,100,100,159.1431480885892,62.65447843370098,0.5004110234083816
350,0.8,100,100,159.1540046330916,62.75782280809992,0.33440545264451665
350,0.85,100,100,159.53217426659924,66.12792645165163,0.5004110234083816
350,0.9,100,100,159.2191439001075,63.32660152377482,0.5237555567970502
350,0.95,100,100,159.09972191057844,62.27956658414444,0.18236669672857292
350,1.0,100,100,159.4018957325679,64.9689992158359,0.35774998603318514
400,0.6,100,100,176.3217993910621,57.44035347783934,1.9156255297085483
400,0.65,100,100,175.73847826956663,53.25390144375474,1.9457379027031338
400,0.7,100,100,175.84248126022072,54.009295891253295,1.6743277063744504
400,0.75,100,100,175.8470031293796,54.0181434723418,1.9391570529758404
400,0.8,100,100,175.8809171480716,54.27455152621765,2.032086627912774
400,0.85,100,100,176.12961995180964,56.07327335139621,1.7305640585895046
400,0.9,100,100,175.9623107929313,54.865449684546334,1.6958650327546838
400,0.95,100,100,176.2268401387256,56.754193499829434,2.0490373014527727
400,1.0,100,100,175.48977546582822,51.47665432995587,1.936564597022664
450,0.6,100,100,176.1906651854545,56.48584550642649,2.2753786481339304
450,0.65,100,100,175.97587640040774,54.95641656195154,1.8613833743805528
450,0.7,100,100,175.48299266209,51.498816232099934,1.307395479155657
450,0.75,100,100,175.46490518545446,51.30236557239679,1.5598608050572833
450,0.8,100,100,176.05048724152928,55.494315132594686,2.0765572184941816
450,0.85,100,100,176.14770742844522,56.188120107855895,1.9110388768683133
450,0.9,100,100,175.29307415741715,50.07710443990646,1.2838639558883649
450,0.95,100,100,176.17257770881892,56.3602613942769,2.125614461915825
450,1.0,100,100,176.03466069947328,55.38496590224833,1.9830293844911306
500,0.6,100,100,191.5897126332686,41.57623722061343,7.77879445730245
500,0.65,100,100,191.72547020902644,42.41302770639188,7.5282128568096605
500,0.7,100,100,191.5707065726627,41.48367266481548,7.1000113628888055
500,0.75,100,100,191.63043990599584,41.848841131444345,7.089047171936455
500,0.8,100,100,191.66302172417784,42.02508473582015,8.061072537093851
500,0.85,100,100,191.60057323932904,41.61988835317053,8.4075409711881
500,0.9,100,100,191.47839142114722,40.946573946830256,6.316570082111824
500,0.95,100,100,192.31737323932904,45.92426959836653,8.096955343846995
500,1.0,100,100,191.6928883908442,42.16777045370438,9.03628748507375
