"No.","Time","Source","Destination","Protocol","Length","Info"
"1319","1.280954","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1077313 Win=128160 Len=0 TSval=2935394693 TSecr=254570940"
"1320","1.280962","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1078761 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1321","1.280972","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1080209 Win=125280 Len=0 TSval=2935394693 TSecr=254570940"
"1322","1.280985","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1080209 Win=131072 Len=0 TSval=2935394693 TSecr=254570940"
"1323","1.281082","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1080209 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1324","1.281085","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1081657 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1325","1.281108","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1083105 Win=128160 Len=0 TSval=2935394693 TSecr=254570940"
"1326","1.281125","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1083105 Win=131072 Len=0 TSval=2935394693 TSecr=254570940"
"1327","1.281320","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1083105 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1328","1.281323","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1084553 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1329","1.281345","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1086001 Win=128160 Len=0 TSval=2935394693 TSecr=254570940"
"1330","1.281362","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1086001 Win=131072 Len=0 TSval=2935394693 TSecr=254570940"
"1331","1.281545","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1086001 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
