0.000000000,0x0000a0ff,62387,5201,0,0,0
0.026706000,0x00000000,5201,62387,0,1,0
0.026754000,0x00002e1a,62387,5201,1,1,0
0.026815000,0x00005be3,62387,5201,1,1,37
0.053583000,0x0000d381,5201,62387,1,38,0
0.054927000,0x0000d382,5201,62387,1,38,1448
0.058163000,0x0000d383,5201,62387,1449,38,1448
0.058166000,0x0000d384,5201,62387,2897,38,1448
0.058206000,0x00005842,62387,5201,38,2897,0
0.058365000,0x0000d385,5201,62387,4345,38,1448
0.058368000,0x0000d386,5201,62387,5793,38,1448
0.058369000,0x0000d387,5201,62387,7241,38,1448
0.058394000,0x0000acc9,62387,5201,38,5793,0
0.058410000,0x00008160,62387,5201,38,8689,0
0.058413000,0x0000d388,5201,62387,8689,38,1448
0.058556000,0x0000d389,5201,62387,10137,38,1448
0.058571000,0x0000d3e1,62387,5201,38,11585,0
0.058876000,0x0000d38a,5201,62387,11585,38,1448
0.058878000,0x0000d38b,5201,62387,13033,38,1448
0.058910000,0x00007d46,62387,5201,38,14481,0
0.075714000,0x0000633e,62387,5201,38,14481,0
0.082697000,0x0000d38c,5201,62387,14481,38,1448
0.082700000,0x0000d38d,5201,62387,15929,38,1448
0.082753000,0x00001da8,62387,5201,38,17377,0
0.082764000,0x000041db,62387,5201,38,17377,0
0.082768000,0x0000d38e,5201,62387,17377,38,1448
0.082770000,0x0000d38f,5201,62387,18825,38,1448
0.082789000,0x0000ba0d,62387,5201,38,20273,0
0.082810000,0x0000b990,62387,5201,38,20273,0
0.082878000,0x0000d390,5201,62387,20273,38,1448
0.082880000,0x0000d391,5201,62387,21721,38,1448
0.082920000,0x00000305,62387,5201,38,23169,0
0.082928000,0x0000e3ca,62387,5201,38,23169,0
0.082970000,0x0000d392,5201,62387,23169,38,1448
0.083338000,0x0000d393,5201,62387,24617,38,1448
0.083340000,0x0000d394,5201,62387,26065,38,1448
0.083342000,0x0000d395,5201,62387,27513,38,1448
0.083365000,0x00005753,62387,5201,38,26065,0
0.083384000,0x00009964,62387,5201,38,27513,0
0.083384000,0x0000d396,5201,62387,28961,38,1448
0.083387000,0x0000d397,5201,62387,30409,38,1448
0.083389000,0x00008750,62387,5201,38,28961,0
0.083400000,0x0000a6c2,62387,5201,38,31857,0
0.083404000,0x00003323,62387,5201,38,31857,0
0.086180000,0x0000d398,5201,62387,31857,38,1448
0.086183000,0x0000d399,5201,62387,33305,38,1448
0.086185000,0x0000d39a,5201,62387,34753,38,1448
0.086229000,0x000088dc,62387,5201,38,34753,0
0.086239000,0x0000e6eb,62387,5201,38,34753,0
0.086256000,0x0000d39b,5201,62387,36201,38,1448
0.086266000,0x0000ef3f,62387,5201,38,37649,0
0.086293000,0x00003e3d,62387,5201,38,37649,0
0.086426000,0x0000d39c,5201,62387,37649,38,1448
0.086429000,0x0000d39d,5201,62387,39097,38,1448
0.086430000,0x0000d39e,5201,62387,40545,38,1448
0.086457000,0x00006f43,62387,5201,38,40545,0
0.086464000,0x00005c67,62387,5201,38,40545,0
0.086828000,0x0000d39f,5201,62387,41993,38,1448
0.086850000,0x000078d5,62387,5201,38,43441,0
0.104408000,0x0000d3a0,5201,62387,43441,38,1448
0.104411000,0x0000d3a1,5201,62387,44889,38,1448
0.104465000,0x0000b35d,62387,5201,38,46337,0
0.104473000,0x0000d3a2,5201,62387,46337,38,1448
0.104475000,0x0000d3a3,5201,62387,47785,38,1448
0.104488000,0x00009aac,62387,5201,38,49233,0
0.104588000,0x00006d38,62387,5201,38,49233,0
0.104725000,0x0000d3a4,5201,62387,49233,38,1448
0.104727000,0x0000d3a5,5201,62387,50681,38,1448
0.104729000,0x0000d3a6,5201,62387,52129,38,1448
0.104755000,0x0000c35f,62387,5201,38,52129,0
0.104828000,0x0000d3a7,5201,62387,53577,38,1448
0.104842000,0x0000e7f0,62387,5201,38,55025,0
0.104874000,0x00008ae2,62387,5201,38,55025,0
0.110333000,0x0000d3a8,5201,62387,55025,38,1448
0.110335000,0x0000d3a9,5201,62387,56473,38,1448
0.110337000,0x0000d3aa,5201,62387,57921,38,1448
0.110392000,0x0000d0ec,62387,5201,38,57921,0
0.110402000,0x0000bc52,62387,5201,38,57921,0
0.110413000,0x0000d3ab,5201,62387,59369,38,1448
0.110414000,0x0000d3ac,5201,62387,60817,38,1448
0.110427000,0x0000fab6,62387,5201,38,60817,0
0.110444000,0x0000b1cf,62387,5201,38,62265,0
0.110559000,0x0000d3ad,5201,62387,62265,38,1448
0.110803000,0x0000d3ae,5201,62387,63713,38,1448
0.110806000,0x0000d3af,5201,62387,65161,38,1448
