GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
1,50,0.6,100,50,56.153890909096134,112.50954927426052,0.0
2,50,0.6,100,50,56.36838787879302,119.55054749172993,0.0
3,50,0.6,100,50,56.730408080812985,131.43408878703653,0.0
4,50,0.6,100,50,57.71012525252981,163.59392241746,0.0
