GE ref,N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
1,9,9,41,50,0.7762280169799879,1280,1649,53.27840000000473,60.078125000000014,0.4805578937523382
2,9,9,41,50,0.7762280169799879,1280,1649,53.27840000000473,60.078125000000014,0.0
3,9,9,41,50,0.7762280169799879,1280,1649,53.27840000000473,60.078125000000014,5.36455410587355
4,9,9,41,50,0.7762280169799879,1280,1649,53.27840000000473,60.078125000000014,15.04138608305275
5,9,9,41,50,0.7762280169799879,1280,1649,53.27840000000473,60.078125000000014,48.392942737560794
