GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
1,50,0.75,100,40,46.15886868687357,112.67294796707097,0.0
2,50,0.75,100,40,46.10185050505543,110.80129021306021,0.0
3,50,0.75,100,40,46.34078383838857,118.64442746796274,0.0
4,50,0.75,100,40,46.75710707071152,132.31049995756513,0.0
5,50,0.75,100,40,47.513276767680935,157.132246838137,0.0
