GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
1,500,0.6,100,100,189.39587020902715,28.654553046046864,0.243006341289349
2,500,0.6,100,100,189.32256111811813,28.22295894291805,0.12638721934163025
3,500,0.6,100,100,189.7922823302391,31.006969515808972,1.5341893376233222
4,500,0.6,100,100,190.3081611181177,34.014239240987976,3.7266288302404345
5,500,0.6,100,100,191.5462702090265,41.3261490125442,7.722179362203045
