GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
1,500,1.0,100,75,164.404015663571,28.705623145797457,0.3486612722847181
2,500,1.0,100,75,164.29812475448017,28.080532026214932,0.06319360967081512
3,500,1.0,100,75,164.85201566357097,31.365667952908623,1.2628754487842706
4,500,1.0,100,75,165.28643990599497,33.91615359332509,2.5660193807026253
5,500,1.0,100,75,166.47567626963126,40.90438935429974,7.266866414290926
