GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%),Aggregate
1,150,0.75,100,100,122.8734537089435,64.12237676095872,0.0,0.17236758728227142
2,150,0.75,100,100,123.18298098167104,69.48419897422278,0.0,0.18564288691421515
3,150,0.75,100,100,123.6002092644994,76.71168447221875,0.0,0.20331531392310967
4,150,0.75,100,100,124.52336077965121,92.70308405563718,0.0,0.19862504509278436
