GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
1,50,0.6,100,75,81.14529292929873,112.22731516849699,0.0
2,50,0.6,100,75,81.34757171717747,118.86724386724974,0.0
3,50,0.6,100,75,81.66795959596524,129.38417791359586,0.0
4,50,0.6,100,75,82.62143030303564,160.6824548001098,0.0
