GE ref,N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
1,9,9,41,100,0.7762280169799879,1280,1649,103.27840000000442,60.078125000000014,0.06349665637860083
2,9,9,41,100,0.7762280169799879,1280,1649,103.27840000000442,60.078125000000014,0.36147060886644217
3,9,9,41,100,0.7762280169799879,1280,1649,103.27840000000442,60.078125000000014,2.163723461466517
4,9,9,41,100,0.7762280169799879,1280,1649,103.27840000000442,60.078125000000014,17.314244879349047
5,9,9,41,100,0.7762280169799879,1280,1649,103.27840000000442,60.078125000000014,48.13258452581369
