GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
1,50,0.6,100,40,46.17696969697457,113.26712503183631,0.0
2,50,0.6,100,40,46.103660606065546,110.86070791953675,0.0
3,50,0.6,100,40,46.34485656566128,118.77811730753488,0.0
4,50,0.6,100,40,46.71728484848934,131.00331041508127,0.0
5,50,0.6,100,40,47.69564444444851,163.11858076564732,0.0
