GE ref,N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
1,9,9,41,75,0.7762280169799879,1280,1649,175.0,60.078125000000014,0.3841657313879536
2,9,9,41,75,0.7762280169799879,1280,1649,175.0,60.078125000000014,3.9678907126823795
3,9,9,41,75,0.7762280169799879,1280,1649,175.0,60.078125000000014,17.109608819678265
4,9,9,41,75,0.7762280169799879,1280,1649,175.0,60.078125000000014,48.62538872521511
