GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
1,50,0.6,100,100,106.15479595960208,112.53925812749877,0.0
2,50,0.6,100,100,106.10049292929902,110.75672693320288,0.0
3,50,0.6,100,100,106.35028686869296,118.95637042696447,0.0
4,50,0.6,100,100,106.73312323232929,131.52321534675147,0.0
5,50,0.6,100,100,107.65717979798585,161.85595450302088,0.0
