GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
1,50,0.65,100,50,56.12719191919718,111.63313810373167,0.0
2,50,0.65,100,50,56.32358787879303,118.07995925643571,0.0
3,50,0.65,100,50,56.73629090909586,131.6271963330853,0.0
4,50,0.65,100,50,57.593826262630884,159.77633477634237,0.0
