GE ref,N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
1,9,9,41,40,0.7762280169799879,1280,1649,43.27840000000348,60.078125000000014,0.19928743453049008
2,9,9,41,40,0.7762280169799879,1280,1649,43.27840000000348,60.078125000000014,0.0
3,9,9,41,40,0.7762280169799879,1280,1649,43.27840000000348,60.078125000000014,1.7554596894874672
4,9,9,41,40,0.7762280169799879,1280,1649,43.27840000000348,60.078125000000014,22.075456532921812
5,9,9,41,40,0.7762280169799879,1280,1649,43.27840000000348,60.078125000000014,49.824167601945376
