GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%),Aggregate
1,250,0.75,100,40,79.37537750068316,46.96513326031222,0.0,0.2052199734288134
2,250,0.75,100,40,79.29528053098623,46.022727272725504,0.0,0.20542275638304394
3,250,0.75,100,40,79.69305022795594,50.70281124497814,0.0,0.20925847696421865
4,250,0.75,100,40,80.2116441673499,56.804490690031095,0.0,0.21052662071310824
5,250,0.75,100,40,81.48776537947117,71.81909456005685,0.0,0.21859119440418953
