GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%),Aggregate
1,150,0.8,100,50,72.89245976955029,64.45161145826447,0.0,0.20878303021836794
2,150,0.8,100,50,72.79833451702501,62.8211158144648,0.0,0.20651705203790274
3,150,0.8,100,50,73.09881128470188,68.02615960044052,0.0,0.20614566271140974
4,150,0.8,100,50,73.47078704227775,74.46975296199454,0.0,0.2028509097198824
5,150,0.8,100,50,74.68083956753046,95.43102869045558,0.0,0.20884205693162916
