GE ref,K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
1,50,0.95,100,100,106.13895757576367,112.01935319582928,0.0
2,50,0.95,100,100,106.09461010101619,110.56361938715416,0.0
3,50,0.95,100,100,106.31136969697576,117.67888973771913,0.0
4,50,0.95,100,100,106.74126868687469,131.79059502589584,0.0
5,50,0.95,100,100,107.6721131313189,162.34615058145212,0.0
